inv_date_sk,inv_item_sk,inv_warehouse_sk,inv_quantity_on_hand
2450815,286,1,720
2450815,289,1,212
2450815,290,1,793
2450815,292,1,491
2450815,295,1,62
2450815,296,1,266
2450815,298,1,206
2450815,301,1,679
2450815,302,1,116
2450815,304,1,702
2450815,307,1,922
2450815,308,1,982
2450815,310,1,783
2450815,313,1,614
2450815,314,1,855
2450815,316,1,487
2450815,319,1,829
2450815,320,1,
2450815,322,1,926
2450815,325,1,349
2450815,326,1,663
2450815,328,1,95
2450815,331,1,476
2450815,332,1,956
2450815,334,1,55
2450815,337,1,564
2450815,338,1,650
2450815,340,1,688
2450815,343,1,827
2450815,344,1,716
2450815,346,1,85
2450815,349,1,559
2450815,350,1,437
2450815,352,1,215
2450815,355,1,429
2450815,356,1,614
2450815,358,1,238
2450815,361,1,331
2450815,362,1,201
2450815,364,1,544
2450815,367,1,624
2450815,368,1,100
2450815,370,1,666
2450815,373,1,732
2450815,374,1,143
2450815,376,1,171
2450815,379,1,122
2450815,380,1,859
2450815,382,1,438
2450815,385,1,768
2450815,386,1,696
2450815,388,1,711
2450815,391,1,920
2450815,392,1,405
2450815,394,1,462
2450815,397,1,699
2450815,398,1,342
2450815,400,1,487
2450815,403,1,
2450815,404,1,447
2450815,406,1,18
2450815,409,1,672
2450815,410,1,56
2450815,412,1,642
2450815,415,1,196
2450815,416,1,375
2450815,418,1,950
2450815,421,1,837
2450815,422,1,456
2450815,424,1,256
2450815,427,1,283
2450815,428,1,813
2450815,430,1,431
2450815,433,1,286
2450815,434,1,858
2450815,436,1,740
2450815,439,1,7
2450815,440,1,952
2450815,442,1,309
2450815,445,1,209
2450815,446,1,269
2450815,448,1,638
2450815,451,1,448
2450815,452,1,890
2450815,454,1,209
2450815,457,1,950
2450815,458,1,72
2450815,460,1,235
2450815,463,1,289
2450815,464,1,492
2450815,466,1,311
2450815,469,1,943
2450815,470,1,995
2450815,472,1,314
2450815,475,1,601
2450815,476,1,228
2450815,478,1,170
2450815,481,1,988
2450815,482,1,728
2450815,484,1,852
2450815,487,1,832
2450815,488,1,131
2450815,490,1,894
2450815,493,1,682
2450815,494,1,634
2450815,496,1,538
2450815,499,1,460
2450815,500,1,
2450815,502,1,94
2450815,505,1,151
2450815,506,1,360
2450815,508,1,
2450815,511,1,767
2450815,512,1,236
2450815,514,1,142
2450815,517,1,273
2450815,518,1,
2450815,520,1,57
2450815,523,1,743
2450815,524,1,273
2450815,526,1,73
2450815,529,1,514
2450815,530,1,149
2450815,532,1,924
2450815,535,1,282
2450815,536,1,993
2450815,538,1,734
2450815,541,1,876
2450815,542,1,237
2450815,544,1,949
2450815,547,1,23
2450815,548,1,443
2450815,550,1,749
2450815,553,1,729
2450815,554,1,865
2450815,556,1,630
2450815,559,1,832
2450815,560,1,933
2450815,562,1,65
2450815,565,1,10
2450815,566,1,37
2450815,568,1,616
2450815,571,1,716
2450815,572,1,263
2450815,574,1,334
2450815,577,1,874
2450815,578,1,5
2450815,580,1,719
2450815,583,1,303
2450815,584,1,319
2450815,586,1,953
2450815,589,1,69
2450815,590,1,870
2450815,592,1,157
2450815,595,1,274
2450815,596,1,770
2450815,598,1,406
2450815,601,1,564
2450815,602,1,695
2450815,604,1,60
2450815,607,1,933
2450815,608,1,637
2450815,610,1,627
2450815,613,1,483
2450815,614,1,262
2450815,616,1,716
2450815,619,1,723
2450815,620,1,604
2450815,622,1,951
2450815,625,1,602
2450815,626,1,551
2450815,628,1,323
2450815,631,1,736
2450815,632,1,579
2450815,634,1,429
2450815,637,1,833
2450815,638,1,679
2450815,640,1,631
2450815,643,1,700
2450815,644,1,423
2450815,646,1,897
2450815,649,1,818
2450815,650,1,540
2450815,652,1,62
2450815,655,1,72
2450815,656,1,40
2450815,658,1,110
2450815,661,1,772
2450815,662,1,686
2450815,664,1,300
2450815,667,1,959
2450815,668,1,
2450815,670,1,646
2450815,673,1,94
2450815,674,1,329
2450815,676,1,601
2450815,679,1,370
2450815,680,1,150
2450815,682,1,144
2450815,685,1,350
2450815,686,1,295
2450815,688,1,628
2450815,691,1,
2450815,692,1,22
2450815,694,1,16
2450815,697,1,707
2450815,698,1,453
2450815,700,1,112
2450815,703,1,393
2450815,704,1,798
2450815,706,1,504
2450815,709,1,148
2450815,710,1,885
2450815,712,1,828
2450815,715,1,118
2450815,716,1,917
2450815,718,1,849
2450815,721,1,11
2450815,722,1,51
2450815,724,1,893
2450815,727,1,254
2450815,728,1,82
2450815,730,1,782
2450815,733,1,199
2450815,734,1,588
2450815,736,1,390
2450815,739,1,576
2450815,740,1,327
2450815,742,1,107
2450815,745,1,305
2450815,746,1,979
2450815,748,1,214
2450815,751,1,706
2450815,752,1,16
2450815,754,1,760
2450815,757,1,391
2450815,758,1,186
2450815,760,1,385
2450815,763,1,491
2450815,764,1,736
2450815,766,1,
2450815,769,1,747
2450815,770,1,599
2450815,772,1,604
2450815,775,1,184
2450815,776,1,847
2450815,778,1,81
2450815,781,1,251
2450815,782,1,116
2450815,784,1,609
2450815,787,1,196
2450815,788,1,909
2450815,790,1,779
2450815,793,1,664
2450815,794,1,124
2450815,796,1,788
2450815,799,1,206
2450815,800,1,529
2450815,802,1,213
2450815,805,1,233
2450815,806,1,115
2450815,808,1,664
2450815,811,1,723
2450815,812,1,384
2450815,814,1,344
2450815,817,1,617
2450815,818,1,672
2450815,820,1,377
2450815,823,1,497
2450815,824,1,321
2450815,826,1,932
2450815,829,1,13
2450815,830,1,119
2450815,832,1,675
2450815,835,1,721
2450815,836,1,303
2450815,838,1,109
2450815,841,1,627
2450815,842,1,
2450815,844,1,678
2450815,847,1,907
2450815,848,1,950
2450815,850,1,594
2450815,853,1,746
2450815,854,1,979
2450815,856,1,556
2450815,859,1,939
2450815,860,1,916
2450815,862,1,
2450815,865,1,171
2450815,866,1,372
2450815,868,1,120
2450815,871,1,386
2450815,872,1,646
2450815,874,1,507
2450815,877,1,688
2450815,878,1,132
2450815,880,1,466
2450815,883,1,272
2450815,884,1,464
2450815,886,1,872
2450815,889,1,928
2450815,890,1,699
2450815,892,1,994
2450815,895,1,544
2450815,896,1,385
2450815,898,1,924
2450815,901,1,26
2450815,902,1,634
2450815,904,1,25
2450815,907,1,960
2450815,908,1,124
2450815,910,1,918
2450815,913,1,589
2450815,914,1,84
2450815,916,1,16
2450815,919,1,502
2450815,920,1,934
2450815,922,1,134
2450815,925,1,125
2450815,926,1,534
2450815,928,1,515
2450815,931,1,979
2450815,932,1,107
2450815,934,1,635
2450815,937,1,282
2450815,938,1,299
2450815,940,1,
2450815,943,1,974
2450815,944,1,825
2450815,946,1,879
2450815,949,1,287
2450815,950,1,179
2450815,952,1,864
2450815,955,1,590
2450815,956,1,162
2450815,958,1,
2450815,961,1,837
2450815,962,1,412
2450815,964,1,585
2450815,967,1,811
2450815,968,1,23
2450815,970,1,592
2450815,973,1,7
2450815,974,1,105
2450815,976,1,222
2450815,979,1,545
2450815,980,1,533
2450815,982,1,983
2450815,985,1,913
2450815,986,1,934
2450815,988,1,
2450815,991,1,423
2450815,992,1,397
2450815,994,1,77
2450815,997,1,249
2450815,998,1,373
2450815,1000,1,916
2450815,1003,1,887
2450815,1004,1,598
2450815,1006,1,270
2450815,1009,1,199
2450815,1010,1,665
2450815,1012,1,239
2450815,1015,1,782
2450815,1016,1,46
2450815,1018,1,584
2450815,1021,1,631
2450815,1022,1,516
2450815,1024,1,235
2450815,1027,1,53
2450815,1028,1,487
2450815,1030,1,589
2450815,1033,1,510
2450815,1034,1,566
2450815,1036,1,561
2450815,1039,1,329
2450815,1040,1,
2450815,1042,1,629
2450815,1045,1,528
2450815,1046,1,794
2450815,1048,1,371
2450815,1051,1,15
2450815,1052,1,703
2450815,1054,1,
2450815,1057,1,580
2450815,1058,1,347
2450815,1060,1,292
2450815,1063,1,247
2450815,1064,1,843
2450815,1066,1,39
2450815,1069,1,401
2450815,1070,1,641
2450815,1072,1,208
2450815,1075,1,194
2450815,1076,1,14
2450815,1078,1,43
2450815,1081,1,557
2450815,1082,1,346
2450815,1084,1,994
2450815,1087,1,532
2450815,1088,1,729
2450815,1090,1,321
2450815,1093,1,934
2450815,1094,1,608
2450815,1096,1,646
2450815,1099,1,298
2450815,1100,1,910
2450815,1102,1,935
2450815,1105,1,525
2450815,1106,1,36
2450815,1108,1,541
2450815,1111,1,407
2450815,1112,1,
2450815,1114,1,765
2450815,1117,1,85
2450815,1118,1,460
2450815,1120,1,49
2450815,1123,1,248
2450815,1124,1,
2450815,1126,1,369
2450815,1129,1,338
2450815,1130,1,258
2450815,1132,1,321
2450815,1135,1,955
2450815,1136,1,905
2450815,1138,1,968
2450815,1141,1,332
2450815,1142,1,
2450815,1144,1,491
2450815,1147,1,684
2450815,1148,1,796
2450815,1150,1,451
2450815,1153,1,427
2450815,1154,1,255
2450815,1156,1,356
2450815,1159,1,848
2450815,1160,1,931
2450815,1162,1,464
2450815,1165,1,517
2450815,1166,1,969
2450815,1168,1,398
2450815,1171,1,263
2450815,1172,1,926
2450815,1174,1,608
2450815,1177,1,956
2450815,1178,1,237
2450815,1180,1,597
2450815,1183,1,520
2450815,1184,1,721
2450815,1186,1,637
2450815,1189,1,470
2450815,1190,1,849
2450815,1192,1,905
2450815,1195,1,965
2450815,1196,1,80
2450815,1198,1,788
2450815,1201,1,293
2450815,1202,1,635
2450815,1204,1,513
2450815,1207,1,356
2450815,1208,1,633
2450815,1210,1,230
2450815,1213,1,403
2450815,1214,1,
2450815,1216,1,894
2450815,1219,1,174
2450815,1220,1,38
2450815,1222,1,292
2450815,1225,1,418
2450815,1226,1,716
2450815,1228,1,698
2450815,1231,1,
2450815,1232,1,11
2450815,1234,1,866
2450815,1237,1,594
2450815,1238,1,214
2450815,1240,1,876
2450815,1243,1,247
2450815,1244,1,
2450815,1246,1,287
2450815,1249,1,615
2450815,1250,1,185
2450815,1252,1,39
2450815,1255,1,
2450815,1256,1,281
2450815,1258,1,586
2450815,1261,1,805
2450815,1262,1,796
2450815,1264,1,971
2450815,1267,1,698
2450815,1268,1,3
2450815,1270,1,335
2450815,1273,1,589
2450815,1274,1,76
2450815,1276,1,867
2450815,1279,1,431
2450815,1280,1,
2450815,1282,1,366
2450815,1285,1,620
2450815,1286,1,858
2450815,1288,1,28
2450815,1291,1,860
2450815,1292,1,43
2450815,1294,1,570
2450815,1297,1,586
2450815,1298,1,552
2450815,1300,1,32
2450815,1303,1,677
2450815,1304,1,757
2450815,1306,1,328
2450815,1309,1,777
2450815,1310,1,458
2450815,1312,1,912
2450815,1315,1,17
2450815,1316,1,520
2450815,1318,1,367
2450815,1321,1,619
2450815,1322,1,167
2450815,1324,1,553
2450815,1327,1,329
2450815,1328,1,384
2450815,1330,1,774
2450815,1333,1,743
2450815,1334,1,824
2450815,1336,1,485
2450815,1339,1,310
2450815,1340,1,188
2450815,1342,1,234
2450815,1345,1,773
2450815,1346,1,433
2450815,1348,1,276
2450815,1351,1,75
2450815,1352,1,521
2450815,1354,1,218
2450815,1357,1,771
2450815,1358,1,786
2450815,1360,1,570
2450815,1363,1,985
2450815,1364,1,230
2450815,1366,1,501
2450815,1369,1,
2450815,1370,1,875
2450815,1372,1,
2450815,1375,1,596
2450815,1376,1,249
2450815,1378,1,266
2450815,1381,1,15
2450815,1382,1,232
2450815,1384,1,674
2450815,1387,1,647
2450815,1388,1,934
2450815,1390,1,935
2450815,1393,1,130
2450815,1394,1,6
2450815,1396,1,544
2450815,1399,1,222
2450815,1400,1,22
2450815,1402,1,589
2450815,1405,1,563
2450815,1406,1,559
2450815,1408,1,93
2450815,1411,1,590
2450815,1412,1,972
2450815,1414,1,94
2450815,1417,1,151
2450815,1418,1,791
2450815,1420,1,190
2450815,1423,1,928
2450815,1424,1,
2450815,1426,1,385
2450815,1429,1,665
2450815,1430,1,971
2450815,1432,1,778
2450815,1435,1,682
2450815,1436,1,877
2450815,1438,1,3
2450815,1441,1,335
2450815,1442,1,20
2450815,1444,1,524
2450815,1447,1,631
2450815,1448,1,799
2450815,1450,1,137
2450815,1453,1,
2450815,1454,1,437
2450815,1456,1,488
2450815,1459,1,45
2450815,1460,1,716
2450815,1462,1,67
2450815,1465,1,
2450815,1466,1,428
2450815,1468,1,74
2450815,1471,1,177
2450815,1472,1,635
2450815,1474,1,233
2450815,1477,1,345
2450815,1478,1,717
2450815,1480,1,47
2450815,1483,1,266
2450815,1484,1,539
2450815,1486,1,331
2450815,1489,1,58
2450815,1490,1,441
2450815,1492,1,764
2450815,1495,1,9
2450815,1496,1,35
2450815,1498,1,461
2450815,1501,1,230
2450815,1502,1,214
2450815,1504,1,121
2450815,1507,1,475
2450815,1508,1,203
2450815,1510,1,47
2450815,1513,1,118
2450815,1514,1,773
2450815,1516,1,517
2450815,1519,1,857
2450815,1520,1,37
2450815,1522,1,959
2450815,1525,1,620
2450815,1526,1,239
2450815,1528,1,968
2450815,1531,1,747
2450815,1532,1,255
2450815,1534,1,69
2450815,1537,1,537
2450815,1538,1,142
2450815,1540,1,626
2450815,1543,1,924
2450815,1544,1,742
2450815,1546,1,499
2450815,1549,1,166
2450815,1550,1,720
2450815,1552,1,284
2450815,1555,1,426
2450815,1556,1,960
2450815,1558,1,132
2450815,1561,1,141
2450815,1562,1,162
2450815,1564,1,351
2450815,1567,1,43
2450815,1568,1,187
2450815,1570,1,416
2450815,1573,1,984
2450815,1574,1,794
2450815,1576,1,711
2450815,1579,1,
2450815,1580,1,612
2450815,1582,1,393
2450815,1585,1,867
2450815,1586,1,335
2450815,1588,1,701
2450815,1591,1,117
2450815,1592,1,
2450815,1594,1,763
2450815,1597,1,526
2450815,1598,1,204
2450815,1600,1,16
2450815,1603,1,999
2450815,1604,1,213
2450815,1606,1,484
2450815,1609,1,
2450815,1610,1,923
2450815,1612,1,518
2450815,1615,1,557
2450815,1616,1,596
2450815,1618,1,413
2450815,1621,1,795
2450815,1622,1,573
2450815,1624,1,443
2450815,1627,1,375
2450815,1628,1,15
2450815,1630,1,37
2450815,1633,1,233
2450815,1634,1,733
2450815,1636,1,267
2450815,1639,1,981
2450815,1640,1,268
2450815,1642,1,598
2450815,1645,1,831
2450815,1646,1,436
2450815,1648,1,804
2450815,1651,1,228
2450815,1652,1,756
2450815,1654,1,807
2450815,1657,1,952
2450815,1658,1,793
2450815,1660,1,539
2450815,1663,1,474
2450815,1664,1,367
2450815,1666,1,481
2450815,1669,1,338
2450815,1670,1,320
2450815,1672,1,599
2450815,1675,1,450
2450815,1676,1,574
2450815,1678,1,800
2450815,1681,1,104
2450815,1682,1,85
2450815,1684,1,230
2450815,1687,1,971
2450815,1688,1,914
2450815,1690,1,748
2450815,1693,1,803
2450815,1694,1,214
2450815,1696,1,283
2450815,1699,1,584
2450815,1700,1,639
2450815,1702,1,472
2450815,1705,1,651
2450815,1706,1,777
2450815,1708,1,434
2450815,1711,1,614
2450815,1712,1,97
2450815,1714,1,927
2450815,1717,1,237
2450815,1718,1,57
2450815,1720,1,76
2450815,1723,1,839
2450815,1724,1,123
2450815,1726,1,327
2450815,1729,1,666
2450815,1730,1,950
2450815,1732,1,23
2450815,1735,1,212
2450815,1736,1,455
2450815,1738,1,83
2450815,1741,1,221
2450815,1742,1,479
2450815,1744,1,271
2450815,1747,1,52
2450815,1748,1,901
2450815,1750,1,991
2450815,1753,1,510
2450815,1754,1,
2450815,1756,1,694
2450815,1759,1,138
2450815,1760,1,632
2450815,1762,1,369
2450815,1765,1,473
2450815,1766,1,595
2450815,1768,1,144
2450815,1771,1,840
2450815,1772,1,578
2450815,1774,1,444
2450815,1777,1,427
2450815,1778,1,276
2450815,1780,1,998
2450815,1783,1,823
2450815,1784,1,906
2450815,1786,1,329
2450815,1789,1,794
2450815,1790,1,375
2450815,1792,1,450
2450815,1795,1,58
2450815,1796,1,828
2450815,1798,1,39
2450815,1801,1,852
2450815,1802,1,800
2450815,1804,1,481
2450815,1807,1,135
2450815,1808,1,75
2450815,1810,1,402
2450815,1813,1,128
2450815,1814,1,243
2450815,1816,1,695
2450815,1819,1,426
2450815,1820,1,623
2450815,1822,1,214
2450815,1825,1,284
2450815,1826,1,951
2450815,1828,1,
2450815,1831,1,561
2450815,1832,1,575
2450815,1834,1,
2450815,1837,1,752
2450815,1838,1,396
2450815,1840,1,580
2450815,1843,1,
2450815,1844,1,376
2450815,1846,1,515
2450815,1849,1,632
2450815,1850,1,768
2450815,1852,1,89
2450815,1855,1,335
2450815,1856,1,980
2450815,1858,1,158
2450815,1861,1,996
2450815,1862,1,
2450815,1864,1,507
2450815,1867,1,979
2450815,1868,1,396
2450815,1870,1,203
2450815,1873,1,400
2450815,1874,1,695
2450815,1876,1,846
2450815,1879,1,175
2450815,1880,1,
2450815,1882,1,149
2450815,1885,1,710
2450815,1886,1,690
2450815,1888,1,334
2450815,1891,1,477
2450815,1892,1,
2450815,1894,1,385
2450815,1897,1,608
2450815,1898,1,938
2450815,1900,1,565
2450815,1903,1,756
2450815,1904,1,92
2450815,1906,1,598
2450815,1909,1,880
2450815,1910,1,744
2450815,1912,1,822
2450815,1915,1,96
2450815,1916,1,194
2450815,1918,1,758
2450815,1921,1,2
2450815,1922,1,211
2450815,1924,1,755
2450815,1927,1,698
2450815,1928,1,40
2450815,1930,1,595
2450815,1933,1,669
2450815,1934,1,338
2450815,1936,1,648
2450815,1939,1,993
2450815,1940,1,640
2450815,1942,1,587
2450815,1945,1,45
2450815,1946,1,156
2450815,1948,1,380
2450815,1951,1,30
2450815,1952,1,280
2450815,1954,1,976
2450815,1957,1,242
2450815,1958,1,399
2450815,1960,1,
2450815,1963,1,888
2450815,1964,1,991
2450815,1966,1,68
2450815,1969,1,986
2450815,1970,1,822
2450815,1972,1,581
2450815,1975,1,671
2450815,1976,1,428
2450815,1978,1,825
2450815,1981,1,364
2450815,1982,1,528
2450815,1984,1,989
2450815,1987,1,3
2450815,1988,1,513
2450815,1990,1,84
2450815,1993,1,234
2450815,1994,1,450
2450815,1996,1,76
2450815,1999,1,906
2450815,2000,1,431
2450815,2002,1,692
2450815,2005,1,821
2450815,2006,1,829
2450815,2008,1,283
2450815,2011,1,410
2450815,2012,1,183
2450815,2014,1,
2450815,2017,1,867
2450815,2018,1,296
2450815,2020,1,849
2450815,2023,1,556
2450815,2024,1,122
2450815,2026,1,767
2450815,2029,1,938
2450815,2030,1,221
2450815,2032,1,470
2450815,2035,1,383
2450815,2036,1,767
2450815,2038,1,866
2450815,2041,1,435
2450815,2042,1,55
2450815,2044,1,857
2450815,2047,1,900
2450815,2048,1,773
2450815,2050,1,304
2450815,2053,1,596
2450815,2054,1,692
2450815,2056,1,488
2450815,2059,1,635
2450815,2060,1,997
2450815,2062,1,722
2450815,2065,1,103
2450815,2066,1,899
2450815,2068,1,223
2450815,2071,1,116
2450815,2072,1,983
2450815,2074,1,865
2450815,2077,1,49
2450815,2078,1,628
2450815,2080,1,154
2450815,2083,1,850
2450815,2084,1,917
2450815,2086,1,854
2450815,2089,1,817
2450815,2090,1,930
2450815,2092,1,743
2450815,2095,1,959
2450815,2096,1,
2450815,2098,1,665
2450815,2101,1,944
2450815,2102,1,638
2450815,2104,1,837
2450815,2107,1,99
2450815,2108,1,
2450815,2110,1,158
2450815,2113,1,956
2450815,2114,1,633
2450815,2116,1,547
2450815,2119,1,266
2450815,2120,1,863
2450815,2122,1,688
2450815,2125,1,119
2450815,2126,1,102
2450815,2128,1,178
2450815,2131,1,388
2450815,2132,1,261
2450815,2134,1,196
2450815,2137,1,756
2450815,2138,1,842
2450815,2140,1,484
2450815,2143,1,688
2450815,2144,1,481
2450815,2146,1,342
2450815,2149,1,877
2450815,2150,1,711
2450815,2152,1,799
2450815,2155,1,170
2450815,2156,1,905
2450815,2158,1,42
2450815,2161,1,557
2450815,2162,1,992
2450815,2164,1,369
2450815,2167,1,847
2450815,2168,1,1000
2450815,2170,1,377
2450815,2173,1,665
2450815,2174,1,615
2450815,2176,1,891
2450815,2179,1,761
2450815,2180,1,45
2450815,2182,1,712
2450815,2185,1,510
2450815,2186,1,683
2450815,2188,1,912
2450815,2191,1,14
2450815,2192,1,422
2450815,2194,1,218
2450815,2197,1,338
2450815,2198,1,227
2450815,2200,1,266
2450815,2203,1,284
2450815,2204,1,
2450815,2206,1,196
2450815,2209,1,206
2450815,2210,1,641
2450815,2212,1,776
2450815,2215,1,623
2450815,2216,1,333
2450815,2218,1,392
2450815,2221,1,
2450815,2222,1,201
2450815,2224,1,35
2450815,2227,1,686
2450815,2228,1,98
2450815,2230,1,864
2450815,2233,1,662
2450815,2234,1,823
2450815,2236,1,422
2450815,2239,1,466
2450815,2240,1,334
2450815,2242,1,395
2450815,2245,1,536
2450815,2246,1,107
2450815,2248,1,998
2450815,2251,1,754
2450815,2252,1,361
2450815,2254,1,138
2450815,2257,1,
2450815,2258,1,239
2450815,2260,1,585
2450815,2263,1,108
2450815,2264,1,940
2450815,2266,1,615
2450815,2269,1,605
2450815,2270,1,632
2450815,2272,1,205
2450815,2275,1,874
2450815,2276,1,954
2450815,2278,1,89
2450815,2281,1,519
2450815,2282,1,918
2450815,2284,1,205
2450815,2287,1,680
2450815,2288,1,979
2450815,2290,1,61
2450815,2293,1,846
2450815,2294,1,785
2450815,2296,1,843
2450815,2299,1,805
2450815,2300,1,950
2450815,2302,1,121
2450815,2305,1,98
2450815,2306,1,856
2450815,2308,1,73
2450815,2311,1,663
2450815,2312,1,674
2450815,2314,1,961
2450815,2317,1,
2450815,2318,1,299
2450815,2320,1,615
2450815,2323,1,236
2450815,2324,1,875
2450815,2326,1,691
2450815,2329,1,189
2450815,2330,1,925
2450815,2332,1,69
2450815,2335,1,607
2450815,2336,1,444
2450815,2338,1,251
2450815,2341,1,753
2450815,2342,1,612
2450815,2344,1,646
2450815,2347,1,92
2450815,2348,1,151
2450815,2350,1,212
2450815,2353,1,181
2450815,2354,1,846
2450815,2356,1,
2450815,2359,1,660
2450815,2360,1,982
2450815,2362,1,0
2450815,2365,1,449
2450815,2366,1,87
2450815,2368,1,798
2450815,2371,1,637
2450815,2372,1,491
2450815,2374,1,595
2450815,2377,1,488
2450815,2378,1,399
2450815,2380,1,5
2450815,2383,1,805
2450815,2384,1,303
2450815,2386,1,915
2450815,2389,1,565
2450815,2390,1,
2450815,2392,1,612
2450815,2395,1,956
2450815,2396,1,796
2450815,2398,1,952
2450815,2401,1,
2450815,2402,1,48
2450815,2404,1,820
2450815,2407,1,1
2450815,2408,1,68
2450815,2410,1,86
2450815,2413,1,464
2450815,2414,1,177
2450815,2416,1,747
2450815,2419,1,776
2450815,2420,1,989
2450815,2422,1,920
2450815,2425,1,884
2450815,2426,1,91
2450815,2428,1,596
2450815,2431,1,902
2450815,2432,1,739
2450815,2434,1,110
2450815,2437,1,732
2450815,2438,1,239
2450815,2440,1,306
2450815,2443,1,923
2450815,2444,1,724
2450815,2446,1,572
2450815,2449,1,154
2450815,2450,1,114
2450815,2452,1,570
2450815,2455,1,590
2450815,2456,1,657
2450815,2458,1,651
2450815,2461,1,469
2450815,2462,1,350
2450815,2464,1,18
2450815,2467,1,401
2450815,2468,1,49
2450815,2470,1,473
2450815,2473,1,440
2450815,2474,1,639
2450815,2476,1,276
2450815,2479,1,731
2450815,2480,1,369
2450815,2482,1,563
2450815,2485,1,827
2450815,2486,1,179
2450815,2488,1,223
2450815,2491,1,703
2450815,2492,1,830
2450815,2494,1,978
2450815,2497,1,986
2450815,2498,1,907
2450815,2500,1,986
2450815,2503,1,
2450815,2504,1,11
2450815,2506,1,
2450815,2509,1,609
2450815,2510,1,944
2450815,2512,1,279
2450815,2515,1,601
2450815,2516,1,114
2450815,2518,1,819
2450815,2521,1,601
2450815,2522,1,900
2450815,2524,1,48
2450815,2527,1,84
2450815,2528,1,904
2450815,2530,1,919
2450815,2533,1,882
2450815,2534,1,845
2450815,2536,1,
2450815,2539,1,346
2450815,2540,1,921
2450815,2542,1,
2450815,2545,1,479
2450815,2546,1,231
2450815,2548,1,239
2450815,2551,1,994
2450815,2552,1,492
2450815,2554,1,884
2450815,2557,1,429
2450815,2558,1,503
2450815,2560,1,292
2450815,2563,1,729
2450815,2564,1,
2450815,2566,1,964
2450815,2569,1,918
2450815,2570,1,418
2450815,2572,1,799
2450815,2575,1,294
2450815,2576,1,141
2450815,2578,1,705
2450815,2581,1,382
2450815,2582,1,501
2450815,2584,1,458
2450815,2587,1,964
2450815,2588,1,303
2450815,2590,1,588
2450815,2593,1,294
2450815,2594,1,153
2450815,2596,1,767
2450815,2599,1,806
2450815,2600,1,914
2450815,2602,1,277
2450815,2605,1,176
2450815,2606,1,160
2450815,2608,1,
2450815,2611,1,543
2450815,2612,1,462
2450815,2614,1,240
2450815,2617,1,530
2450815,2618,1,425
2450815,2620,1,523
2450815,2623,1,157
2450815,2624,1,624
2450815,2626,1,904
2450815,2629,1,544
2450815,2630,1,391
