cs_sold_date_sk,cs_sold_time_sk,cs_ship_date_sk,cs_bill_customer_sk,cs_bill_cdemo_sk,cs_bill_hdemo_sk,cs_bill_addr_sk,cs_ship_customer_sk,cs_ship_cdemo_sk,cs_ship_hdemo_sk,cs_ship_addr_sk,cs_call_center_sk,cs_catalog_page_sk,cs_ship_mode_sk,cs_warehouse_sk,cs_item_sk,cs_promo_sk,cs_order_number,cs_quantity,cs_wholesale_cost,cs_list_price,cs_sales_price,cs_ext_discount_amt,cs_ext_sales_price,cs_ext_wholesale_cost,cs_ext_list_price,cs_ext_tax,cs_coupon_amt,cs_ext_ship_cost,cs_net_paid,cs_net_paid_inc_tax,cs_net_paid_inc_ship,cs_net_paid_inc_ship_tax,cs_net_profit
2450815,29485,2450873,14601,797995,6189,9583,14601,797995,6189,9583,1,5,18,5,13858,74,2,38,96.31,264.85,63.56,7649.02,2415.28,3659.78,10064.3,48.3,0,603.82,2415.28,2463.58,3019.1,3067.4,-1244.5
2450815,29485,2450850,14601,797995,6189,9583,14601,797995,6189,9583,1,46,6,5,6235,240,2,3,30.2,51.34,49.28,6.18,147.84,90.6,154.02,0,0,38.49,147.84,147.84,186.33,186.33,57.24
,,2450826,14601,797995,,9583,14601,797995,,,1,103,,,8707,158,2,,,,64.4,,5409.6,7481.04,,384.62,,506.52,4273.59,,4780.11,5164.73,-3207.45
2450815,29485,2450854,14601,797995,6189,9583,14601,797995,6189,9583,1,2,13,1,17368,297,2,60,66.15,182.57,167.96,876.6,10077.6,3969,10954.2,0,0,1423.8,10077.6,10077.6,11501.4,11501.4,6108.6
2450815,29485,2450904,14601,797995,6189,9583,14601,797995,6189,9583,1,60,18,3,6295,176,2,56,67.54,166.82,18.35,8314.32,1027.6,3782.24,9341.92,0,0,3736.32,1027.6,1027.6,4763.92,4763.92,-2754.64
2450815,29485,2450890,14601,797995,6189,9583,14601,797995,6189,9583,1,101,8,1,6230,278,2,88,20.08,60.03,20.41,3486.56,1796.08,1767.04,5282.64,13.82,1598.51,1056,197.57,211.39,1253.57,1267.39,-1569.47
2450815,29485,2450849,14601,797995,6189,9583,14601,797995,6189,9583,1,37,4,3,14458,207,2,31,40.88,51.91,6.22,1416.39,192.82,1267.28,1609.21,11.56,0,321.78,192.82,204.38,514.6,526.16,-1074.46
2450815,29485,2450889,14601,797995,6189,9583,14601,797995,6189,9583,1,96,8,2,17671,162,2,100,49.56,137.77,5.51,13226,551,4956,13777,0,0,3306,551,551,3857,3857,-4405
2450815,10687,2450868,67572,437897,6622,46147,67572,437897,6622,46147,1,83,17,5,5971,72,3,30,72.82,88.84,71.07,533.1,2132.1,2184.6,2665.2,21.32,0,133.2,2132.1,2153.42,2265.3,2286.62,-52.5
2450815,10687,2450831,67572,437897,6622,46147,67572,437897,6622,46147,1,73,1,3,10790,52,3,40,94.56,277.06,2.77,10971.6,110.8,3782.4,11082.4,2.21,0,664.8,110.8,113.01,775.6,777.81,-3671.6
2450815,10687,2450839,67572,437897,6622,46147,67572,437897,6622,46147,1,55,8,4,512,131,3,40,25.96,54.51,15.8,1548.4,632,1038.4,2180.4,22.75,176.96,1090,455.04,477.79,1545.04,1567.79,-583.36
2450815,10687,2450825,67572,437897,6622,46147,67572,437897,6622,46147,1,64,20,3,12622,296,3,45,5.95,12.97,8.81,187.2,396.45,267.75,583.65,3.96,0,17.1,396.45,400.41,413.55,417.51,128.7
2450815,10687,2450837,67572,437897,6622,46147,67572,437897,6622,46147,1,75,7,1,1358,271,3,34,43.69,105.29,82.12,787.78,2792.08,1485.46,3579.86,55.84,0,930.58,2792.08,2847.92,3722.66,3778.5,1306.62
2450815,10687,2450822,67572,437897,6622,46147,67572,437897,6622,46147,1,39,16,5,7906,123,3,59,78.9,84.42,82.73,99.71,4881.07,4655.1,4980.78,292.86,0,1444.32,4881.07,5173.93,6325.39,6618.25,225.97
2450815,10687,2450895,67572,437897,6622,46147,67572,437897,6622,46147,1,49,19,4,2476,131,3,94,41.36,105.88,50.82,5175.64,4777.08,3887.84,9952.72,191.08,0,497.26,4777.08,4968.16,5274.34,5465.42,889.24
2450815,74512,2450892,25383,3755,2480,5652,25383,3755,2480,5652,4,69,18,2,10574,290,4,38,26.96,51.22,35.85,584.06,1362.3,1024.48,1946.36,108.98,0,642.2,1362.3,1471.28,2004.5,2113.48,337.82
2450815,74512,2450862,25383,3755,2480,5652,25383,3755,2480,5652,4,64,16,5,5104,272,4,45,9.54,23.37,21.5,84.15,967.5,429.3,1051.65,21.76,725.62,294.3,241.88,263.64,536.18,557.94,-187.42
2450815,74512,2450834,25383,3755,2480,5652,25383,3755,2480,5652,4,108,5,3,9727,127,4,41,39.04,108.92,75.15,1384.57,3081.15,1600.64,4465.72,215.68,0,1964.72,3081.15,3296.83,5045.87,5261.55,1480.51
2450815,74512,2450864,25383,3755,2480,5652,25383,3755,2480,5652,4,14,5,5,4772,170,4,99,75.88,178.31,156.91,2118.6,15534.09,7512.12,17652.69,1398.06,0,6884.46,15534.09,16932.15,22418.55,23816.61,8021.97
2450815,74512,2450905,25383,3755,2480,5652,25383,3755,2480,5652,4,13,10,5,3391,147,4,90,34.57,89.53,68.04,1934.1,6123.6,3111.3,8057.7,428.65,0,1449.9,6123.6,6552.25,7573.5,8002.15,3012.3
2450815,74512,2450846,25383,3755,2480,5652,25383,3755,2480,5652,4,106,2,1,11180,14,4,75,8.44,14.43,6.34,606.75,475.5,633,1082.25,33.28,0,10.5,475.5,508.78,486,519.28,-157.5
2450815,53201,2450900,76801,90299,3797,42495,76801,90299,3797,42495,2,17,7,4,8168,162,5,45,45.24,59.26,53.33,266.85,2399.85,2035.8,2666.7,191.98,0,479.7,2399.85,2591.83,2879.55,3071.53,364.05
2450815,53201,2450893,76801,90299,3797,42495,76801,90299,3797,42495,2,74,4,4,716,116,5,33,89.04,217.25,52.14,5448.63,1720.62,2938.32,7169.25,68.82,0,3584.46,1720.62,1789.44,5305.08,5373.9,-1217.7
2450815,53201,2450904,76801,90299,3797,42495,76801,90299,3797,42495,2,23,18,4,2323,121,5,25,72.16,98.13,29.43,1717.5,735.75,1804,2453.25,29.43,0,834,735.75,765.18,1569.75,1599.18,-1068.25
2450815,53201,2450820,76801,90299,3797,42495,76801,90299,3797,42495,2,63,7,1,14947,216,5,56,12.62,28.39,20.72,429.52,1160.32,706.72,1589.84,4.87,1079.09,0,81.23,86.1,81.23,86.1,-625.49
2450815,53201,2450817,76801,90299,3797,42495,76801,90299,3797,42495,2,53,9,1,4250,35,5,1,72.84,73.56,20.59,52.97,20.59,72.84,73.56,1.44,0,30.89,20.59,22.03,51.48,52.92,-52.25
2450815,53201,2450867,76801,90299,3797,42495,76801,90299,3797,42495,2,9,5,4,3656,105,5,84,15.29,25.68,19.51,518.28,1638.84,1284.36,2157.12,32.77,0,992.04,1638.84,1671.61,2630.88,2663.65,354.48
2450815,53201,2450864,76801,90299,3797,42495,76801,90299,3797,42495,2,84,4,5,17242,167,5,67,72.95,173.62,142.36,2094.42,9538.12,4887.65,11632.54,763.04,0,4536.57,9538.12,10301.16,14074.69,14837.73,4650.47
2450815,53201,2450828,76801,90299,3797,42495,76801,90299,3797,42495,2,66,8,2,12572,54,5,78,38.63,110.48,44.19,5170.62,3446.82,3013.14,8617.44,0,0,2412.54,3446.82,3446.82,5859.36,5859.36,433.68
2450815,53201,2450828,76801,90299,3797,42495,76801,90299,3797,42495,2,13,17,4,9589,113,5,48,42.89,114.51,16.03,4727.04,769.44,2058.72,5496.48,5.84,623.24,1758.72,146.2,152.04,1904.92,1910.76,-1912.52
2450815,53201,2450828,76801,90299,3797,42495,76801,90299,3797,42495,2,37,15,3,13114,179,5,93,47.49,54.13,12.44,3877.17,1156.92,4416.57,5034.09,80.98,0,754.23,1156.92,1237.9,1911.15,1992.13,-3259.65
2450815,53201,2450874,76801,90299,3797,42495,76801,90299,3797,42495,2,17,5,5,9466,115,5,16,47.79,61.17,28.13,528.64,450.08,764.64,978.72,13.36,4.5,97.76,445.58,458.94,543.34,556.7,-319.06
,,2450835,,528859,,23122,,528859,5567,23122,1,,,,1909,76,6,33,8.8,23.49,,77.55,,290.4,,34.88,0,,,,976.47,1011.35,407.22
2450815,47169,2450888,31351,528859,5567,23122,31351,528859,5567,23122,1,47,13,2,10135,280,6,63,65.85,181.74,23.62,9961.56,1488.06,4148.55,11449.62,29.76,0,3663.45,1488.06,1517.82,5151.51,5181.27,-2660.49
2450815,47169,2450825,31351,528859,5567,23122,31351,528859,5567,23122,1,7,13,1,15902,254,6,90,47.29,55.32,7.19,4331.7,647.1,4256.1,4978.8,38.82,0,1542.6,647.1,685.92,2189.7,2228.52,-3609
2450815,47169,2450870,31351,528859,5567,23122,31351,528859,5567,23122,1,67,8,5,943,6,6,68,51.19,135.65,82.74,3597.88,5626.32,3480.92,9224.2,337.57,0,922.08,5626.32,5963.89,6548.4,6885.97,2145.4
2450815,47169,2450891,31351,528859,5567,23122,31351,528859,5567,23122,1,31,17,3,12055,53,6,12,35.46,59.57,5.36,650.52,64.32,425.52,714.84,4.5,0,250.08,64.32,68.82,314.4,318.9,-361.2
2450815,47169,2450897,31351,528859,5567,23122,31351,528859,5567,23122,1,52,16,5,3614,38,6,79,49.2,118.57,92.48,2061.11,7305.92,3886.8,9367.03,219.17,0,3371.72,7305.92,7525.09,10677.64,10896.81,3419.12
2450815,47169,2450875,31351,528859,5567,23122,31351,528859,5567,23122,1,77,5,4,442,120,6,70,77.77,100.32,100.32,0,7022.4,5443.9,7022.4,108.14,1615.15,0,5407.25,5515.39,5407.25,5515.39,-36.65
2450815,47169,2450898,31351,528859,5567,23122,31351,528859,5567,23122,1,104,4,4,17852,249,6,16,80.76,117.9,103.75,226.4,1660,1292.16,1886.4,27.88,1195.2,660.16,464.8,492.68,1124.96,1152.84,-827.36
2450815,47169,2450903,31351,528859,5567,23122,31351,528859,5567,23122,1,105,2,3,6656,92,6,22,94.95,173.75,105.98,1490.94,2331.56,2088.9,3822.5,17.25,1468.88,687.94,862.68,879.93,1550.62,1567.87,-1226.22
2450815,64129,2450820,16427,192069,5664,34106,16427,192069,5664,34106,1,100,18,3,1894,131,7,85,55.58,72.25,47.68,2088.45,4052.8,4724.3,6141.25,121.58,0,613.7,4052.8,4174.38,4666.5,4788.08,-671.5
2450815,64129,2450865,16427,192069,5664,34106,16427,192069,5664,34106,1,34,9,1,1723,22,7,89,7.79,13.39,8.43,441.44,750.27,693.31,1191.71,22.5,0,356.89,750.27,772.77,1107.16,1129.66,56.96
2450815,64129,2450823,16427,192069,5664,34106,16427,192069,5664,34106,1,63,3,2,9802,80,7,70,1.1,1.35,0.64,49.7,44.8,77,94.5,3.58,0,6.3,44.8,48.38,51.1,54.68,-32.2
2450815,64129,2450872,16427,192069,5664,34106,16427,192069,5664,34106,1,70,11,1,12013,279,7,98,12.64,29.19,12.25,1660.12,1200.5,1238.72,2860.62,60.02,0,1000.58,1200.5,1260.52,2201.08,2261.1,-38.22
2450815,34427,2450873,42814,271788,6362,38536,66763,1267608,5819,30430,1,83,8,5,14618,231,8,78,40.41,88.09,6.16,6390.54,480.48,3151.98,6871.02,33.63,0,2129.4,480.48,514.11,2609.88,2643.51,-2671.5
2450815,34427,2450856,42814,271788,6362,38536,66763,1267608,5819,30430,1,71,20,1,6139,215,8,24,33.13,86.13,18.94,1612.56,454.56,795.12,2067.12,9.09,0,330.72,454.56,463.65,785.28,794.37,-340.56
2450815,34427,2450886,42814,271788,6362,38536,66763,1267608,5819,30430,1,62,2,5,2860,204,8,88,61.57,91.12,87.47,321.2,7697.36,5418.16,8018.56,307.89,0,3046.56,7697.36,8005.25,10743.92,11051.81,2279.2
2450815,34427,2450830,42814,271788,6362,38536,66763,1267608,5819,30430,1,31,3,1,1826,245,8,33,79.68,165.73,97.78,2242.35,3226.74,2629.44,5469.09,64.53,0,273.24,3226.74,3291.27,3499.98,3564.51,597.3
2450815,34427,2450895,42814,271788,6362,38536,66763,1267608,5819,30430,1,89,18,5,13105,251,8,7,30.89,78.46,15.69,439.39,109.83,216.23,549.22,5.49,0,241.64,109.83,115.32,351.47,356.96,-106.4
2450815,34427,2450817,42814,271788,6362,38536,66763,1267608,5819,30430,1,71,16,1,3140,271,8,50,22.47,28.53,24.53,200,1226.5,1123.5,1426.5,85.85,0,256.5,1226.5,1312.35,1483,1568.85,103
2450815,34427,2450820,42814,271788,6362,38536,66763,1267608,5819,30430,1,1,12,5,6950,91,8,24,91.4,95.05,38.02,1368.72,912.48,2193.6,2281.2,54.74,0,638.64,912.48,967.22,1551.12,1605.86,-1281.12
2450815,34427,2450846,42814,271788,6362,38536,66763,1267608,5819,30430,1,44,14,5,7360,87,8,84,24.03,29.79,17.57,1026.48,1475.88,2018.52,2502.36,10.92,383.72,650.16,1092.16,1103.08,1742.32,1753.24,-926.36
2450815,34427,2450833,42814,271788,6362,38536,66763,1267608,5819,30430,1,38,10,1,2236,242,8,2,51.27,111.76,103.93,15.66,207.86,102.54,223.52,0,0,93.86,207.86,207.86,301.72,301.72,105.32
2450815,34427,2450852,42814,271788,6362,38536,66763,1267608,5819,30430,1,107,9,4,8197,99,8,17,38.62,106.59,68.21,652.46,1159.57,656.54,1812.03,33.04,57.97,199.24,1101.6,1134.64,1300.84,1333.88,445.06
2450815,45097,2450860,77674,804458,4395,23579,77674,804458,4395,23579,1,88,16,2,12422,34,9,34,42.47,118.49,41.47,2618.68,1409.98,1443.98,4028.66,52.45,535.79,1571.14,874.19,926.64,2445.33,2497.78,-569.79
2450815,45097,2450880,77674,804458,4395,23579,77674,804458,4395,23579,1,53,13,1,17894,120,9,7,67.4,138.17,56.64,570.71,396.48,471.8,967.19,23.78,0,483.56,396.48,420.26,880.04,903.82,-75.32
2450815,45097,2450877,77674,804458,4395,23579,77674,804458,4395,23579,1,7,7,1,10538,112,9,5,17.93,28.86,16.45,62.05,82.25,89.65,144.3,1.64,0,15.85,82.25,83.89,98.1,99.74,-7.4
2450815,45097,2450873,77674,804458,4395,23579,77674,804458,4395,23579,1,23,5,4,1801,275,9,28,8.36,12.37,5.69,187.04,159.32,234.08,346.36,7.96,0,58.8,159.32,167.28,218.12,226.08,-74.76
2450815,45097,2450819,77674,804458,4395,23579,77674,804458,4395,23579,1,88,13,1,268,249,9,83,61.27,72.29,14.45,4800.72,1199.35,5085.41,6000.07,107.94,0,1859.2,1199.35,1307.29,3058.55,3166.49,-3886.06
2450815,45097,2450855,77674,804458,4395,23579,77674,804458,4395,23579,1,70,18,4,13519,103,9,21,41.74,85.14,6.81,1644.93,143.01,876.54,1787.94,7.15,0,697.2,143.01,150.16,840.21,847.36,-733.53
2450815,80602,2450841,89276,23666,1703,9340,89276,23666,1703,9340,1,54,19,3,2029,70,10,43,79.58,210.09,44.11,7137.14,1896.73,3421.94,9033.87,4.55,1782.92,361.2,113.81,118.36,475.01,479.56,-3308.13
2450815,80602,2450872,89276,23666,1703,9340,89276,23666,1703,9340,1,97,2,3,6238,142,10,57,21.6,26.35,24.24,120.27,1381.68,1231.2,1501.95,0,0,600.78,1381.68,1381.68,1982.46,1982.46,150.48
2450815,80602,2450828,89276,23666,1703,9340,89276,23666,1703,9340,1,80,15,2,17014,181,10,12,83.45,207.79,91.42,1396.44,1097.04,1001.4,2493.48,65.82,0,1072.08,1097.04,1162.86,2169.12,2234.94,95.64
2450815,80602,2450864,89276,23666,1703,9340,89276,23666,1703,9340,1,34,18,5,5704,192,10,75,63.5,133.35,17.33,8701.5,1299.75,4762.5,10001.25,13.25,857.83,1399.5,441.92,455.17,1841.42,1854.67,-4320.58
2450815,80602,2450871,89276,23666,1703,9340,89276,23666,1703,9340,1,20,13,3,11908,150,10,32,33.46,69.26,67.18,66.56,2149.76,1070.72,2216.32,193.47,0,221.44,2149.76,2343.23,2371.2,2564.67,1079.04
2450815,80602,2450841,89276,23666,1703,9340,89276,23666,1703,9340,1,1,4,1,9469,205,10,30,38.5,57.75,25.41,970.2,762.3,1155,1732.5,38.11,0,796.8,762.3,800.41,1559.1,1597.21,-392.7
2450815,80602,2450849,89276,23666,1703,9340,89276,23666,1703,9340,1,12,18,5,9104,132,10,53,9.92,25.69,9.24,871.85,489.72,525.76,1361.57,15.08,112.63,122.43,377.09,392.17,499.52,514.6,-148.67
2450815,80602,2450873,89276,23666,1703,9340,89276,23666,1703,9340,1,53,11,2,1778,55,10,56,1.84,5.35,3.31,114.24,185.36,103.04,299.6,14.82,0,104.72,185.36,200.18,290.08,304.9,82.32
2450815,80602,2450842,89276,23666,1703,9340,89276,23666,1703,9340,1,46,9,2,10105,91,10,15,79.08,108.33,47.66,910.05,714.9,1186.2,1624.95,21.44,0,129.9,714.9,736.34,844.8,866.24,-471.3
2450815,64115,2450821,41731,1046123,5715,32107,41731,1046123,5715,32107,1,20,1,4,2192,208,11,56,67.15,77.89,73.99,218.4,4143.44,3760.4,4361.84,290.04,0,86.8,4143.44,4433.48,4230.24,4520.28,383.04
2450815,64115,2450899,41731,1046123,5715,32107,41731,1046123,5715,32107,1,3,11,3,14980,106,11,84,72.88,149.4,25.39,10416.84,2132.76,6121.92,12549.6,127.96,0,5521.32,2132.76,2260.72,7654.08,7782.04,-3989.16
2450815,64115,2450876,41731,1046123,5715,32107,41731,1046123,5715,32107,1,88,16,1,9296,86,11,75,39.15,83.38,81.71,125.25,6128.25,2936.25,6253.5,490.26,0,62.25,6128.25,6618.51,6190.5,6680.76,3192
2450815,64115,2450892,41731,1046123,5715,32107,41731,1046123,5715,32107,1,48,14,3,12254,172,11,78,26.89,43.02,11.18,2483.52,872.04,2097.42,3355.56,17.44,0,737.88,872.04,889.48,1609.92,1627.36,-1225.38
2450815,64115,2450878,41731,1046123,5715,32107,41731,1046123,5715,32107,1,29,8,1,9679,2,11,48,18.55,52.49,49.34,151.2,2368.32,890.4,2519.52,88.1,165.78,604.32,2202.54,2290.64,2806.86,2894.96,1312.14
2450815,64115,2450855,41731,1046123,5715,32107,41731,1046123,5715,32107,1,90,2,1,14626,286,11,69,93.62,245.28,208.48,2539.2,14385.12,6459.78,16924.32,0,1006.95,7954.32,13378.17,13378.17,21332.49,21332.49,6918.39
2450815,64115,2450818,41731,1046123,5715,32107,41731,1046123,5715,32107,1,105,6,4,8335,255,11,22,40.21,95.29,4.76,1991.66,104.72,884.62,2096.38,0,0,1027.18,104.72,104.72,1131.9,1131.9,-779.9
2450815,64115,2450828,41731,1046123,5715,32107,41731,1046123,5715,32107,1,40,7,3,4534,75,11,26,10.72,19.29,4.82,376.22,125.32,278.72,501.54,5.01,0,55.12,125.32,130.33,180.44,185.45,-153.4
2450815,64115,2450859,41731,1046123,5715,32107,41731,1046123,5715,32107,1,78,14,4,3034,179,11,66,94.58,174.97,85.73,5889.84,5658.18,6242.28,11548.02,396.07,0,1500.84,5658.18,6054.25,7159.02,7555.09,-584.1
2450815,,2450833,41731,1046123,5715,32107,,1046123,5715,32107,1,,19,,2818,,11,,,271.4,35.28,5666.88,,,6513.6,0.93,753.58,,,94.07,1916.9,1917.83,-2301.58
2450815,64115,2450870,41731,1046123,5715,32107,41731,1046123,5715,32107,1,69,4,4,5152,239,11,12,61.89,86.64,7.79,946.2,93.48,742.68,1039.68,5.6,0,239.04,93.48,99.08,332.52,338.12,-649.2
2450815,81128,2450871,36748,83584,2773,8362,36748,83584,2773,8362,4,16,6,1,3517,273,12,30,78.22,129.06,90.34,1161.6,2710.2,2346.6,3871.8,243.91,0,1935.9,2710.2,2954.11,4646.1,4890.01,363.6
2450815,81128,2450817,36748,83584,2773,8362,36748,83584,2773,8362,4,95,2,4,8389,230,12,68,22.99,26.2,0.78,1728.56,53.04,1563.32,1781.6,4.24,0,178.16,53.04,57.28,231.2,235.44,-1510.28
2450815,81128,2450882,36748,83584,2773,8362,36748,83584,2773,8362,4,9,16,3,1627,174,12,18,67.23,80.67,43.56,667.98,784.08,1210.14,1452.06,7.84,0,319.32,784.08,791.92,1103.4,1111.24,-426.06
2450815,81128,2450830,36748,83584,2773,8362,36748,83584,2773,8362,4,98,12,2,16466,232,12,23,44.46,118.26,75.68,979.34,1740.64,1022.58,2719.98,34.81,0,1142.18,1740.64,1775.45,2882.82,2917.63,718.06
2450815,81128,2450878,36748,83584,2773,8362,36748,83584,2773,8362,4,14,9,1,14326,238,12,44,48.13,59.19,21.3,1667.16,937.2,2117.72,2604.36,46.86,0,25.96,937.2,984.06,963.16,1010.02,-1180.52
2450815,81128,2450858,36748,83584,2773,8362,36748,83584,2773,8362,4,27,20,4,1940,117,12,40,4.37,11.27,9.46,72.4,378.4,174.8,450.8,30.27,0,62.8,378.4,408.67,441.2,471.47,203.6
2450815,31835,2450830,36022,1502404,6833,19662,36022,1502404,6833,19662,1,71,19,2,14164,133,13,60,85.33,128.84,61.84,4020,3710.4,5119.8,7730.4,16.69,3524.88,3555.6,185.52,202.21,3741.12,3757.81,-4934.28
2450815,31835,2450863,36022,1502404,6833,19662,36022,1502404,6833,19662,1,106,13,4,2389,241,13,46,47.13,76.35,64.13,562.12,2949.98,2167.98,3512.1,146.9,501.49,350.98,2448.49,2595.39,2799.47,2946.37,280.51
2450815,31835,2450883,36022,1502404,6833,19662,36022,1502404,6833,19662,1,95,18,5,13732,224,13,83,64.16,150.13,48.04,8473.47,3987.32,5325.28,12460.79,159.49,0,3862.82,3987.32,4146.81,7850.14,8009.63,-1337.96
2450815,31835,2450905,36022,1502404,6833,19662,36022,1502404,6833,19662,1,65,5,1,12577,61,13,15,72.17,199.18,161.33,567.75,2419.95,1082.55,2987.7,217.79,0,1045.65,2419.95,2637.74,3465.6,3683.39,1337.4
2450815,31835,2450884,36022,1502404,6833,19662,36022,1502404,6833,19662,1,86,3,5,3056,209,13,27,90.2,183.1,3.66,4844.88,98.82,2435.4,4943.7,3.91,33.59,2273.94,65.23,69.14,2339.17,2343.08,-2370.17
2450815,31835,2450882,36022,1502404,6833,19662,36022,1502404,6833,19662,1,103,2,1,4778,26,13,1,66.72,166.8,106.75,60.05,106.75,66.72,166.8,0,0,0,106.75,106.75,106.75,106.75,40.03
2450815,31835,2450838,36022,1502404,6833,19662,36022,1502404,6833,19662,1,63,2,1,2216,204,13,62,2.33,3.86,0.57,203.98,35.34,144.46,239.32,0,0,18.6,35.34,35.34,53.94,53.94,-109.12
2450815,31835,2450873,36022,1502404,6833,19662,36022,1502404,6833,19662,1,96,16,2,286,248,13,49,51.74,83.81,4.19,3901.38,205.31,2535.26,4106.69,10.26,0,862.4,205.31,215.57,1067.71,1077.97,-2329.95
2450815,31835,2450884,36022,1502404,6833,19662,36022,1502404,6833,19662,1,47,19,3,10066,204,13,57,34.01,77.54,40.32,2121.54,2298.24,1938.57,4419.78,0,0,1104.66,2298.24,2298.24,3402.9,3402.9,359.67
2450815,31835,2450845,36022,1502404,6833,19662,36022,1502404,6833,19662,1,6,4,3,13628,194,13,29,6.77,12.45,3.61,256.36,104.69,196.33,361.05,1.04,0,53.94,104.69,105.73,158.63,159.67,-91.64
2450815,31835,2450903,36022,1502404,6833,19662,36022,1502404,6833,19662,1,56,20,5,14527,195,13,4,6.26,14.83,5.04,39.16,20.16,25.04,59.32,0,0,11.84,20.16,20.16,32,32,-4.88
2450815,77322,2450865,19226,1917174,722,39470,19226,1917174,722,39470,4,34,14,2,9190,207,14,62,64.76,141.82,18.43,7650.18,1142.66,4015.12,8792.84,91.41,0,1406.78,1142.66,1234.07,2549.44,2640.85,-2872.46
2450815,77322,2450862,19226,1917174,722,39470,19226,1917174,722,39470,4,81,10,2,14902,86,14,33,32.96,58,37.7,669.9,1244.1,1087.68,1914,111.96,0,0,1244.1,1356.06,1244.1,1356.06,156.42
2450815,77322,2450899,19226,1917174,722,39470,19226,1917174,722,39470,4,78,6,5,6170,281,14,79,32.66,97.32,29.19,5382.27,2306.01,2580.14,7688.28,207.54,0,1383.29,2306.01,2513.55,3689.3,3896.84,-274.13
2450815,77322,2450861,19226,1917174,722,39470,19226,1917174,722,39470,4,27,17,2,8917,149,14,63,90.78,227.85,209.62,1148.49,13206.06,5719.14,14354.55,396.18,0,3588.48,13206.06,13602.24,16794.54,17190.72,7486.92
2450815,39455,2450875,86950,800085,1573,23461,86950,800085,1573,23461,1,62,12,1,4372,126,15,6,48.56,143.73,137.98,34.5,827.88,291.36,862.38,0,0,155.22,827.88,827.88,983.1,983.1,536.52
2450815,39455,2450856,86950,800085,1573,23461,86950,800085,1573,23461,1,54,12,1,8632,121,15,38,62.96,64.84,42.14,862.6,1601.32,2392.48,2463.92,41.31,224.18,1059.44,1377.14,1418.45,2436.58,2477.89,-1015.34
