web_site_sk,web_site_id,web_rec_start_date,web_rec_end_date,web_name,web_open_date_sk,web_close_date_sk,web_class,web_manager,web_mkt_id,web_mkt_class,web_mkt_desc,web_market_manager,web_company_id,web_company_name,web_street_number,web_street_name,web_street_type,web_suite_number,web_city,web_county,web_state,web_zip,web_country,web_gmt_offset,web_tax_percentage
11,AAAAAAAAKAAAAAAA,1999-08-17,2001-08-15,site_1,2450730,2447080,Unknown,Dwight Aaron,3,Legs could stop. Even fair terms shall maintain. ,"Variations would not hear genetic, proper cases. Most applicable regions ",Casey Banks,2,able,909,Cedar ,Parkway,Suite 350,Fairview,Williamson County,TN,35709,United States,-5.00,0.07
12,AAAAAAAAKAAAAAAA,2001-08-16,,site_1,2450730,2447080,Unknown,Dwight Aaron,3,"Only, temporary services ",Young weeks would resign. Lessons might not assess a,Casey Banks,2,able,339,Lincoln ,Pkwy,Suite D,Fairview,Williamson County,TN,35709,United States,-5.00,0.07
13,AAAAAAAANAAAAAAA,1997-08-16,,site_2,2450705,,Unknown,John Thomas,2,Open writers find later. Patterns like later labou,Pictures may not lead away seriously proper charts. Current differences work most gmt social ,James Brewer,5,anti,973,Cherry Main,Boulevard,Suite D,Midway,Williamson County,TN,31904,United States,-5.00,0.07
14,AAAAAAAAOAAAAAAA,1997-08-16,2000-08-15,site_2,2450696,2447046,Unknown,Robert Arnold,5,Women would not get abilit,Things would differ very inevitable sorts. Systematic terms can d,Gilbert Chapman,5,anti,887,River ,Drive,Suite 390,Midway,Williamson County,TN,31904,United States,-5.00,0.07
15,AAAAAAAAOAAAAAAA,2000-08-16,,site_2,2450696,2447046,Unknown,James Austin,5,"Intense, coherent women decay ago. New, imp",Good voters should rece,Gilbert Chapman,5,anti,887,Broadway South,Road,Suite 260,Midway,Williamson County,TN,31904,United States,-5.00,0.08
16,AAAAAAAAABAAAAAA,1997-08-16,1999-08-16,site_2,2450679,2448854,Unknown,Herbert Hawes,6,"Natural, fair claims would heal c",Lovely hundreds may not boa,Albert Leung,6,cally,841,West Cedar,Blvd,Suite D,Midway,Williamson County,TN,31904,United States,-5.00,0.04
17,AAAAAAAAABAAAAAA,1999-08-17,2001-08-15,site_2,2450679,2448854,Unknown,Charles Castillo,6,Regulations would argue long,There traditional days sound,Albert Leung,6,cally,841,Wilson Ridge,Way,Suite 20,Midway,Williamson County,TN,31904,United States,-5.00,0.03
18,AAAAAAAAABAAAAAA,2001-08-16,,site_2,2450679,2448854,Unknown,Steve Bauer,6,Regulations would argue long,"Small, different women get all electoral things. Fully",David Somers,6,cally,351,Sycamore ,Wy,Suite 450,Fairview,Williamson County,TN,31904,United States,-5.00,0.03
19,AAAAAAAADBAAAAAA,1997-08-16,,site_3,2450654,,Unknown,Jimmy Pope,2,"Dark, brief sentences ",Techniques lead most lega,Eldon Snow,5,anti,184,Hill 5th,Parkway,Suite 280,Midway,Williamson County,TN,31904,United States,-5.00,0.04
20,AAAAAAAAEBAAAAAA,1997-08-16,2000-08-15,site_3,2450645,2448820,Unknown,Peter Cassidy,4,Successful problems determine too ,"Financial, medical programmes used to stay. Possible professionals support m",Kelvin Lynch,3,pri,828,2nd ,Wy,Suite J,Midway,Williamson County,TN,31904,United States,-5.00,0.04
21,AAAAAAAAEBAAAAAA,2000-08-16,,site_3,2450645,2448820,Unknown,Peter Cassidy,4,Studies can promote alone more p,"Financial, medical programmes used to stay. Possible professionals support m",Jarvis Allen,4,pri,615,1st Maple,Blvd,Suite U,Fairview,Williamson County,TN,31904,United States,-5.00,0.07
22,AAAAAAAAGBAAAAAA,1997-08-16,1999-08-16,site_3,2450628,2446978,Unknown,Lewis Wolf,5,Stands apply always vertical women. Necessary,Adequate responses would no,James Bernard,2,able,292,Elevnth Third,Wy,Suite 30,Midway,Williamson County,TN,31904,United States,-5.00,0.07
23,AAAAAAAAGBAAAAAA,1999-08-17,2001-08-15,site_3,2450628,2446978,Unknown,Lewis Wolf,4,"Enormous eggs give simply vital, advanced",Adequate responses would no,James Bernard,5,anti,292,Railroad ,Court,Suite 440,Fairview,Williamson County,TN,31904,United States,-5.00,0.01
24,AAAAAAAAGBAAAAAA,2001-08-16,,site_3,2450628,2446978,Unknown,John Ward,1,"New, only stations win directly previous stories.",Special fields see els,James Bernard,5,anti,292,Hickory Meadow,ST,Suite 460,Fairview,Williamson County,TN,31904,United States,-5.00,0.11
25,AAAAAAAAJBAAAAAA,1997-08-16,,site_4,2450603,,Unknown,Julio Davis,3,Factors used to becom,Words take even fine days. Individual features will touch s,Donald Mckinney,1,ought,671,Willow ,Drive,Suite T,Fairview,Williamson County,TN,35709,United States,-5.00,0.01
26,AAAAAAAAKBAAAAAA,1997-08-16,2000-08-15,site_4,2450594,2446944,Unknown,William Carter,2,"Special, political artis","Local, economic copies face even wrong, other pens",Keith Williams,2,able,892,Cedar North,Drive,Suite 280,Midway,Williamson County,TN,31904,United States,-5.00,0.07
27,AAAAAAAAKBAAAAAA,2000-08-16,,site_4,2450594,2446944,Unknown,Arnoldo Reed,2,"Special, political artis","Indeed other countries stand far likely effects. Old, success",John Isaacs,5,anti,384,Spruce ,Wy,Suite 200,Fairview,Williamson County,TN,31904,United States,-5.00,0.07
28,AAAAAAAAMBAAAAAA,1997-08-16,1999-08-16,site_4,2450577,2448752,Unknown,Raymond Oneill,4,Movements cost also classical ,Shares speak now industrial shots. As other resources could f,Jeffrey Campbell,3,pri,730,Central 14th,Dr.,Suite Q,Midway,Williamson County,TN,31904,United States,-5.00,0.09
29,AAAAAAAAMBAAAAAA,1999-08-17,2001-08-15,site_4,2450577,2448752,Unknown,Raymond Oneill,4,Movements cost also classical ,Groups might not view n,Efren Howard,4,pri,247,Park ,Boulevard,Suite 100,Midway,Williamson County,TN,31904,United States,-5.00,0.09
30,AAAAAAAAMBAAAAAA,2001-08-16,,site_4,2450577,2448752,Unknown,Raymond Oneill,4,Components take even levels. Also ,No longer political women should not get then orthodox great procedures;,Joshua Wood,1,ought,538,South Third,Wy,Suite 210,Midway,Williamson County,TN,31904,United States,-5.00,0.09
