ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2451754,1529,2451836,2189,74800,1219525,3450,3375,84180,1487225,5550,41475,17,19,1,2,223,3,57,35.95,62.55,43.78,1069.89,2495.46,2049.15,3565.35,224.59,0,962.16,2495.46,2720.05,3457.62,3682.21,446.31
2451754,1529,2451769,151,74800,1219525,3450,3375,84180,1487225,5550,41475,5,20,6,4,72,3,93,65.8,152.65,29,11499.45,2697,6119.4,14196.45,215.76,0,7097.76,2697,2912.76,9794.76,10010.52,-3422.4
2451754,1529,2451763,10793,74800,1219525,3450,3375,84180,1487225,5550,41475,44,2,18,2,276,3,93,55.42,127.46,1.27,11735.67,118.11,5154.06,11853.78,4.72,0,1421.97,118.11,122.83,1540.08,1544.8,-5035.95
2451754,1529,2451863,12782,74800,1219525,3450,3375,84180,1487225,5550,41475,8,26,3,2,94,3,82,48.65,91.94,8.27,6860.94,678.14,3989.3,7539.08,13.56,0,2788.82,678.14,691.7,3466.96,3480.52,-3311.16
2451754,1529,2451868,15769,74800,1219525,3450,3375,84180,1487225,5550,41475,23,2,9,4,99,3,33,80.23,90.65,55.29,1166.88,1824.57,2647.59,2991.45,0,0,478.5,1824.57,1824.57,2303.07,2303.07,-823.02
2451754,1529,2451833,5549,74800,1219525,3450,3375,84180,1487225,5550,41475,5,23,1,5,69,3,96,14.57,30.59,8.25,2144.64,792,1398.72,2936.64,55.44,0,968.64,792,847.44,1760.64,1816.08,-606.72
2451754,1529,2451858,12475,74800,1219525,3450,3375,84180,1487225,5550,41475,5,23,8,4,23,3,58,83.12,218.6,139.9,4564.6,8114.2,4820.96,12678.8,81.14,0,2281.72,8114.2,8195.34,10395.92,10477.06,3293.24
2451754,1529,2451785,5324,74800,1219525,3450,3375,84180,1487225,5550,41475,47,23,20,1,299,3,44,5.04,5.04,0.1,217.36,4.4,221.76,221.76,0.13,0,106.04,4.4,4.53,110.44,110.57,-217.36
2451754,1529,2451839,15686,74800,1219525,3450,3375,84180,1487225,5550,41475,47,26,17,2,7,3,50,18.97,42.68,21.76,1046,1088,948.5,2134,54.4,0,405,1088,1142.4,1493,1547.4,139.5
2451754,1529,2451778,12977,74800,1219525,3450,3375,84180,1487225,5550,41475,55,19,5,5,85,3,68,6.25,10.31,6.08,287.64,413.44,425,701.08,28.94,0,195.84,413.44,442.38,609.28,638.22,-11.56
2451754,1529,2451857,1874,74800,1219525,3450,3375,84180,1487225,5550,41475,11,29,4,3,192,3,28,22.77,47.81,3.34,1245.16,93.52,637.56,1338.68,4.67,0,267.68,93.52,98.19,361.2,365.87,-544.04
2451754,1529,2451846,8281,74800,1219525,3450,3375,84180,1487225,5550,41475,1,14,12,1,73,3,63,61.25,115.76,41.67,4667.67,2625.21,3858.75,7292.88,78.75,0,1823.22,2625.21,2703.96,4448.43,4527.18,-1233.54
2451754,1529,2451801,17867,74800,1219525,3450,3375,84180,1487225,5550,41475,49,8,2,2,259,3,65,5.37,10.31,2.06,536.25,133.9,349.05,670.15,7.47,9.37,26.65,124.53,132,151.18,158.65,-224.52
2451754,1529,2451791,10760,74800,1219525,3450,3375,84180,1487225,5550,41475,13,25,9,5,91,3,74,74.66,83.61,52.67,2289.56,3897.58,5524.84,6187.14,116.92,0,1546.6,3897.58,4014.5,5444.18,5561.1,-1627.26
2451483,77832,2451543,11842,89187,512359,4331,19456,87757,1204153,2525,37697,8,26,3,4,18,4,26,77.15,198.27,109.04,2319.98,2835.04,2005.9,5155.02,36.28,2381.43,206.18,453.61,489.89,659.79,696.07,-1552.29
2451483,77832,2451494,6718,89187,512359,4331,19456,87757,1204153,2525,37697,22,7,3,5,167,4,25,99,292.05,262.84,730.25,6571,2475,7301.25,65.71,0,3285.5,6571,6636.71,9856.5,9922.21,4096
2451483,77832,2451584,3592,89187,512359,4331,19456,87757,1204153,2525,37697,10,14,7,4,298,4,80,14.55,42.34,27.09,1220,2167.2,1164,3387.2,43.34,0,609.6,2167.2,2210.54,2776.8,2820.14,1003.2
2451483,77832,2451591,14779,89187,512359,4331,19456,87757,1204153,2525,37697,20,2,13,4,275,4,54,64.58,160.8,120.6,2170.8,6512.4,3487.32,8683.2,586.11,0,3646.62,6512.4,7098.51,10159.02,10745.13,3025.08
2451483,77832,2451538,5908,89187,512359,4331,19456,87757,1204153,2525,37697,34,16,20,1,162,4,30,54.81,81.11,22.71,1752,681.3,1644.3,2433.3,6.81,0,0,681.3,688.11,681.3,688.11,-963
2451483,77832,2451511,7636,89187,512359,4331,19456,87757,1204153,2525,37697,28,26,6,3,170,4,19,87.13,170.77,155.4,292.03,2952.6,1655.47,3244.63,88.57,0,486.59,2952.6,3041.17,3439.19,3527.76,1297.13
2451483,77832,2451489,520,89187,512359,4331,19456,87757,1204153,2525,37697,44,10,16,4,232,4,29,86.36,90.67,68.9,631.33,1998.1,2504.44,2629.43,159.84,0,236.64,1998.1,2157.94,2234.74,2394.58,-506.34
2451483,77832,2451541,12574,89187,512359,4331,19456,87757,1204153,2525,37697,26,26,4,4,277,4,2,4.21,10.9,0.54,20.72,1.08,8.42,21.8,0.07,0,5.88,1.08,1.15,6.96,7.03,-7.34
2451483,77832,2451575,997,89187,512359,4331,19456,87757,1204153,2525,37697,52,10,18,2,79,4,42,56.94,107.04,102.75,180.18,4315.5,2391.48,4495.68,43.15,0,1708.14,4315.5,4358.65,6023.64,6066.79,1924.02
2451483,77832,2451587,13090,89187,512359,4331,19456,87757,1204153,2525,37697,26,14,12,1,50,4,91,88.66,242.04,183.95,5286.19,16739.45,8068.06,22025.64,502.18,0,0,16739.45,17241.63,16739.45,17241.63,8671.39
2451483,77832,2451487,1600,89187,512359,4331,19456,87757,1204153,2525,37697,43,28,15,3,98,4,10,32.29,45.85,30.71,151.4,307.1,322.9,458.5,0.61,276.39,137.5,30.71,31.32,168.21,168.82,-292.19
2451945,25492,2451992,16217,66395,1553493,1391,32089,22505,293885,983,19681,27,1,18,5,59,5,1,66.29,174.34,137.72,36.62,137.72,66.29,174.34,4.62,71.61,45.32,66.11,70.73,111.43,116.05,-0.18
2451945,25492,2451954,14577,66395,1553493,1391,32089,22505,293885,983,19681,7,5,19,5,14,5,7,66.22,145.68,144.22,10.22,1009.54,463.54,1019.76,80.76,0,193.69,1009.54,1090.3,1203.23,1283.99,546
2451945,25492,2451998,5559,66395,1553493,1391,32089,22505,293885,983,19681,47,25,2,3,17,5,10,87.53,150.55,58.71,918.4,587.1,875.3,1505.5,27.12,135.03,316.1,452.07,479.19,768.17,795.29,-423.23
2451945,25492,2451963,8633,66395,1553493,1391,32089,22505,293885,983,19681,39,13,11,3,192,5,83,4.36,10.15,4.66,455.67,386.78,361.88,842.45,27.07,0,151.06,386.78,413.85,537.84,564.91,24.9
2451945,25492,2452016,14617,66395,1553493,1391,32089,22505,293885,983,19681,1,11,4,4,74,5,20,71.9,103.53,85.92,352.2,1718.4,1438,2070.6,154.65,0,227.6,1718.4,1873.05,1946,2100.65,280.4
2451945,25492,2452004,11747,66395,1553493,1391,32089,22505,293885,983,19681,39,21,12,5,201,5,26,81.47,126.27,27.77,2561,722.02,2118.22,3283.02,50.54,0,1411.54,722.02,772.56,2133.56,2184.1,-1396.2
2451945,25492,2452025,7243,66395,1553493,1391,32089,22505,293885,983,19681,17,23,12,2,125,5,32,30.81,40.05,22.02,576.96,704.64,985.92,1281.6,35.23,0,358.72,704.64,739.87,1063.36,1098.59,-281.28
2451945,25492,2452055,875,66395,1553493,1391,32089,22505,293885,983,19681,55,9,2,1,93,5,44,68.96,143.43,61.67,3597.44,2713.48,3034.24,6310.92,135.67,0,0,2713.48,2849.15,2713.48,2849.15,-320.76
2451945,25492,2451949,6215,66395,1553493,1391,32089,22505,293885,983,19681,27,5,12,1,30,5,41,6.21,11.92,1.31,435.01,53.71,254.61,488.72,3.75,0,190.24,53.71,57.46,243.95,247.7,-200.9
2451945,25492,2451949,10215,66395,1553493,1391,32089,22505,293885,983,19681,37,3,2,5,265,5,22,71.63,113.89,69.47,977.24,1528.34,1575.86,2505.58,137.55,0,1077.34,1528.34,1665.89,2605.68,2743.23,-47.52
2451945,25492,2452031,7665,66395,1553493,1391,32089,22505,293885,983,19681,13,17,11,5,202,5,51,43.92,94.86,52.17,2177.19,2660.67,2239.92,4837.86,102.17,106.42,1209.21,2554.25,2656.42,3763.46,3865.63,314.33
2451945,25492,2451998,9961,66395,1553493,1391,32089,22505,293885,983,19681,21,27,20,3,159,5,50,15.41,17.41,6.26,557.5,313,770.5,870.5,9.2,159.63,330.5,153.37,162.57,483.87,493.07,-617.13
2451945,25492,2451983,14731,66395,1553493,1391,32089,22505,293885,983,19681,19,25,6,2,105,5,65,34.29,75.43,18.1,3726.45,1176.5,2228.85,4902.95,70.59,0,1176.5,1176.5,1247.09,2353,2423.59,-1052.35
2451945,25492,2451980,3175,66395,1553493,1391,32089,22505,293885,983,19681,47,13,3,1,249,5,37,35.86,89.29,0,3303.73,0,1326.82,3303.73,0,0,1090.02,0,0,1090.02,1090.02,-1326.82
2451945,25492,2452013,6363,66395,1553493,1391,32089,22505,293885,983,19681,51,25,7,4,78,5,45,86.45,207.48,60.16,6629.4,2707.2,3890.25,9336.6,108.28,0,2800.8,2707.2,2815.48,5508,5616.28,-1183.05
2451945,25492,2452026,3273,66395,1553493,1391,32089,22505,293885,983,19681,49,13,2,2,172,5,69,63.61,129.12,16.78,7751.46,1157.82,4389.09,8909.28,11.57,0,3474.15,1157.82,1169.39,4631.97,4643.54,-3231.27
2451534,69300,2451625,4879,89701,202409,1164,31472,63718,1330935,6843,25951,52,19,6,4,132,6,20,26.03,64.55,47.12,348.6,942.4,520.6,1291,65.96,0,206.4,942.4,1008.36,1148.8,1214.76,421.8
2451534,69300,2451646,16009,89701,202409,1164,31472,63718,1330935,6843,25951,8,1,17,3,192,6,93,93.65,163.88,126.18,3506.1,11734.74,8709.45,15240.84,221.78,9270.44,6857.82,2464.3,2686.08,9322.12,9543.9,-6245.15
2451534,69300,2451537,7712,89701,202409,1164,31472,63718,1330935,6843,25951,43,8,11,4,157,6,60,56.92,134.33,104.77,1773.6,6286.2,3415.2,8059.8,565.75,0,3384.6,6286.2,6851.95,9670.8,10236.55,2871
2451534,69300,2451566,11413,89701,202409,1164,31472,63718,1330935,6843,25951,31,1,6,1,166,6,57,69.75,192.51,102.03,5157.36,5815.71,3975.75,10973.07,174.47,0,2633.4,5815.71,5990.18,8449.11,8623.58,1839.96
2451534,69300,2451549,14210,89701,202409,1164,31472,63718,1330935,6843,25951,55,16,20,1,252,6,50,42.11,58.95,46.57,619,2328.5,2105.5,2947.5,162.99,0,58.5,2328.5,2491.49,2387,2549.99,223
2451534,69300,2451600,6529,89701,202409,1164,31472,63718,1330935,6843,25951,28,4,1,2,230,6,89,70.02,77.72,55.18,2006.06,4911.02,6231.78,6917.08,147.33,0,2766.12,4911.02,5058.35,7677.14,7824.47,-1320.76
2451534,69300,2451545,13015,89701,202409,1164,31472,63718,1330935,6843,25951,20,8,19,3,220,6,69,21,24.36,13.64,739.68,941.16,1449,1680.84,9.41,0,487.14,941.16,950.57,1428.3,1437.71,-507.84
2451534,69300,2451543,15250,89701,202409,1164,31472,63718,1330935,6843,25951,28,26,16,5,34,6,26,26.29,28.65,18.33,268.32,476.58,683.54,744.9,33.36,0,186.16,476.58,509.94,662.74,696.1,-206.96
2451178,76807,2451182,12710,48271,1161066,3908,32303,96091,1249940,782,16777,50,1,9,4,62,7,94,66.79,165.63,66.25,9341.72,6227.5,6278.26,15569.22,560.47,0,2491,6227.5,6787.97,8718.5,9278.97,-50.76
2451178,76807,2451251,7555,48271,1161066,3908,32303,96091,1249940,782,16777,28,20,14,5,133,7,37,16.03,20.67,0.62,741.85,22.94,593.11,764.79,0,0,367.04,22.94,22.94,389.98,389.98,-570.17
2451178,76807,2451277,11416,48271,1161066,3908,32303,96091,1249940,782,16777,34,16,10,1,35,7,51,10.48,30.18,23.84,323.34,1215.84,534.48,1539.18,23.58,36.47,122.91,1179.37,1202.95,1302.28,1325.86,644.89
2451178,76807,2451279,4856,48271,1161066,3908,32303,96091,1249940,782,16777,56,19,8,4,170,7,45,67.42,113.26,41.9,3211.2,1885.5,3033.9,5096.7,56.56,0,2497.05,1885.5,1942.06,4382.55,4439.11,-1148.4
2451178,76807,2451293,13342,48271,1161066,3908,32303,96091,1249940,782,16777,22,7,6,3,10,7,3,47.96,84.88,1.69,249.57,5.07,143.88,254.64,0.2,0,30.54,5.07,5.27,35.61,35.81,-138.81
2451178,76807,2451298,6628,48271,1161066,3908,32303,96091,1249940,782,16777,49,13,2,4,36,7,71,68.25,152.19,4.56,10481.73,323.76,4845.75,10805.49,29.13,0,648.23,323.76,352.89,971.99,1001.12,-4521.99
2451178,76807,2451230,15808,48271,1161066,3908,32303,96091,1249940,782,16777,58,2,7,2,54,7,57,25.26,42.18,2.53,2260.05,144.21,1439.82,2404.26,8.65,0,624.72,144.21,152.86,768.93,777.58,-1295.61
2451178,76807,2451210,1225,48271,1161066,3908,32303,96091,1249940,782,16777,2,26,16,3,110,7,66,66.72,166.8,90.07,5064.18,5944.62,4403.52,11008.8,416.12,0,1651.32,5944.62,6360.74,7595.94,8012.06,1541.1
2452190,51596,2452250,6047,77108,1572482,5456,22830,53825,888731,5705,33479,43,17,9,1,16,8,60,30.82,56.7,29.48,1633.2,1768.8,1849.2,3402,0,1715.73,475.8,53.07,53.07,528.87,528.87,-1796.13
2452190,51596,2452247,4603,77108,1572482,5456,22830,53825,888731,5705,33479,3,21,7,1,112,8,13,19.64,34.17,17.76,213.33,230.88,255.32,444.21,6.92,0,75.4,230.88,237.8,306.28,313.2,-24.44
2452190,51596,2452243,7563,77108,1572482,5456,22830,53825,888731,5705,33479,15,17,7,3,259,8,63,9.36,19.74,16.38,211.68,1031.94,589.68,1243.62,35.39,526.28,522.27,505.66,541.05,1027.93,1063.32,-84.02
2452190,51596,2452289,9823,77108,1572482,5456,22830,53825,888731,5705,33479,43,29,1,4,17,8,12,56.04,96.38,89.63,81,1075.56,672.48,1156.56,96.8,0,69.36,1075.56,1172.36,1144.92,1241.72,403.08
2452190,51596,2452300,2247,77108,1572482,5456,22830,53825,888731,5705,33479,17,25,10,4,18,8,73,36.58,41.7,35.44,456.98,2587.12,2670.34,3044.1,77.61,0,1247.57,2587.12,2664.73,3834.69,3912.3,-83.22
2452190,51596,2452266,13143,77108,1572482,5456,22830,53825,888731,5705,33479,59,29,10,5,277,8,91,48.63,65.16,3.25,5633.81,295.75,4425.33,5929.56,2.95,0,2489.76,295.75,298.7,2785.51,2788.46,-4129.58
2452190,51596,2452307,6545,77108,1572482,5456,22830,53825,888731,5705,33479,27,11,8,5,42,8,51,42.52,121.6,38.91,4217.19,1984.41,2168.52,6201.6,0,754.07,557.94,1230.34,1230.34,1788.28,1788.28,-938.18
2452190,51596,2452295,12675,77108,1572482,5456,22830,53825,888731,5705,33479,9,25,1,4,217,8,1,99.76,206.5,0,206.5,0,99.76,206.5,0,0,33.04,0,0,33.04,33.04,-99.76
2452190,51596,2452239,14961,77108,1572482,5456,22830,53825,888731,5705,33479,53,1,5,1,230,8,83,39.67,47.6,34.74,1067.38,2883.42,3292.61,3950.8,259.5,0,1026.71,2883.42,3142.92,3910.13,4169.63,-409.19
2452190,51596,2452232,9843,77108,1572482,5456,22830,53825,888731,5705,33479,37,13,5,3,91,8,63,97.02,121.27,103.07,1146.6,6493.41,6112.26,7640.01,12.98,6233.67,2597.49,259.74,272.72,2857.23,2870.21,-5852.52
2452190,51596,2452260,2351,77108,1572482,5456,22830,53825,888731,5705,33479,39,11,2,3,114,8,11,16.62,23.76,2.61,232.65,28.71,182.82,261.36,2.29,0,73.15,28.71,31,101.86,104.15,-154.11
2452190,51596,2452283,9519,77108,1572482,5456,22830,53825,888731,5705,33479,5,5,13,3,3,8,37,39.38,108.68,106.5,80.66,3940.5,1457.06,4021.16,197.02,0,924.63,3940.5,4137.52,4865.13,5062.15,2483.44
2452190,51596,2452299,8767,77108,1572482,5456,22830,53825,888731,5705,33479,51,3,8,4,260,8,87,58.72,115.67,2.31,9862.32,200.97,5108.64,10063.29,1.08,188.91,4024.62,12.06,13.14,4036.68,4037.76,-5096.58
2452190,51596,2452214,7747,77108,1572482,5456,22830,53825,888731,5705,33479,13,23,17,5,140,8,35,84.35,156.04,37.44,4151,1310.4,2952.25,5461.4,65.52,0,218.4,1310.4,1375.92,1528.8,1594.32,-1641.85
2452190,51596,2452199,5899,77108,1572482,5456,22830,53825,888731,5705,33479,41,11,18,3,5,8,53,78.31,198.12,108.96,4725.48,5774.88,4150.43,10500.36,0,0,4199.72,5774.88,5774.88,9974.6,9974.6,1624.45
2450900,56256,2451013,6169,12676,1815460,4197,8581,21248,1123302,39,14023,40,19,12,4,113,9,40,14.18,38.14,3.43,1388.4,137.2,567.2,1525.6,6.86,0,45.6,137.2,144.06,182.8,189.66,-430
2450900,56256,2450983,11930,12676,1815460,4197,8581,21248,1123302,39,14023,19,2,14,1,188,9,28,26.19,70.71,5.65,1821.68,158.2,733.32,1979.88,12.65,0,197.96,158.2,170.85,356.16,368.81,-575.12
2450900,56256,2450965,9517,12676,1815460,4197,8581,21248,1123302,39,14023,20,1,4,4,24,9,25,28,75.32,41.42,847.5,1035.5,700,1883,2.48,952.66,621.25,82.84,85.32,704.09,706.57,-617.16
2450900,56256,2450933,9637,12676,1815460,4197,8581,21248,1123302,39,14023,49,8,2,2,199,9,36,93.2,236.72,165.7,2556.72,5965.2,3355.2,8521.92,536.86,0,2556.36,5965.2,6502.06,8521.56,9058.42,2610
2450900,56256,2450903,13790,12676,1815460,4197,8581,21248,1123302,39,14023,2,1,10,2,201,9,47,92.35,229.02,114.51,5381.97,5381.97,4340.45,10763.94,53.81,0,4843.35,5381.97,5435.78,10225.32,10279.13,1041.52
2450900,56256,2451001,14032,12676,1815460,4197,8581,21248,1123302,39,14023,1,16,4,2,100,9,44,52.52,126.04,122.25,166.76,5379,2310.88,5545.76,430.32,0,1219.68,5379,5809.32,6598.68,7029,3068.12
2450900,56256,2450962,5780,12676,1815460,4197,8581,21248,1123302,39,14023,10,2,15,1,27,9,87,4.47,4.82,3.85,84.39,334.95,388.89,419.34,30.14,0,108.75,334.95,365.09,443.7,473.84,-53.94
2450900,56256,2450932,8896,12676,1815460,4197,8581,21248,1123302,39,14023,16,10,3,5,267,9,9,70.18,106.67,44.8,556.83,403.2,631.62,960.03,0,249.98,470.34,153.22,153.22,623.56,623.56,-478.4
2450900,56256,2450923,5962,12676,1815460,4197,8581,21248,1123302,39,14023,49,1,20,1,95,9,13,49.14,63.88,31.94,415.22,415.22,638.82,830.44,6.56,87.19,215.8,328.03,334.59,543.83,550.39,-310.79
2450900,56256,2451009,12166,12676,1815460,4197,8581,21248,1123302,39,14023,16,20,6,3,250,9,52,51.52,79.85,59.08,1080.04,3072.16,2679.04,4152.2,0,0,2034.24,3072.16,3072.16,5106.4,5106.4,393.12
2450900,56256,2450990,10303,12676,1815460,4197,8581,21248,1123302,39,14023,1,8,19,5,24,9,1,64.29,145.93,135.71,10.22,135.71,64.29,145.93,0,0,72.96,135.71,135.71,208.67,208.67,71.42
2450900,56256,2450965,4864,12676,1815460,4197,8581,21248,1123302,39,14023,2,1,20,1,35,9,44,94.24,201.67,12.1,8341.08,532.4,4146.56,8873.48,21.29,0,4170.32,532.4,553.69,4702.72,4724.01,-3614.16
2450900,56256,2450939,15307,12676,1815460,4197,8581,21248,1123302,39,14023,20,26,7,3,106,9,25,12.48,33.19,7.63,639,190.75,312,829.75,1.9,0,107.75,190.75,192.65,298.5,300.4,-121.25
2450900,56256,2450949,9236,12676,1815460,4197,8581,21248,1123302,39,14023,32,26,8,5,42,9,29,80.18,113.05,79.13,983.68,2294.77,2325.22,3278.45,206.52,0,1081.7,2294.77,2501.29,3376.47,3582.99,-30.45
2450900,56256,2450956,16741,12676,1815460,4197,8581,21248,1123302,39,14023,16,14,17,1,275,9,53,74.09,105.94,95.34,561.8,5053.02,3926.77,5614.82,40.93,4598.24,1852.88,454.78,495.71,2307.66,2348.59,-3471.99
2451821,29187,2451865,6797,1204,1306794,31,21268,98174,259742,6132,42569,26,26,4,4,134,10,31,43.13,108.68,21.73,2695.45,673.63,1337.03,3369.08,40.41,0,0,673.63,714.04,673.63,714.04,-663.4
2451821,29187,2451907,13951,1204,1306794,31,21268,98174,259742,6132,42569,8,8,18,3,118,10,25,16.96,42.23,42.23,0,1055.75,424,1055.75,63.34,0,221.5,1055.75,1119.09,1277.25,1340.59,631.75
2451821,29187,2451881,6146,1204,1306794,31,21268,98174,259742,6132,42569,19,2,4,1,128,10,59,41.12,76.07,59.33,987.66,3500.47,2426.08,4488.13,105.01,0,1660.26,3500.47,3605.48,5160.73,5265.74,1074.39
2451821,29187,2451923,4937,1204,1306794,31,21268,98174,259742,6132,42569,32,11,8,2,229,10,21,55.01,88.01,56.32,665.49,1182.72,1155.21,1848.21,70.96,0,332.64,1182.72,1253.68,1515.36,1586.32,27.51
2451821,29187,2451849,15797,1204,1306794,31,21268,98174,259742,6132,42569,11,1,16,3,233,10,62,45.51,57.79,15.6,2615.78,967.2,2821.62,3582.98,48.36,0,1791.18,967.2,1015.56,2758.38,2806.74,-1854.42
2451821,29187,2451851,12637,1204,1306794,31,21268,98174,259742,6132,42569,41,29,19,3,244,10,76,55.63,72.31,54.23,1374.08,4121.48,4227.88,5495.56,82.42,0,164.16,4121.48,4203.9,4285.64,4368.06,-106.4
2451821,29187,2451938,6605,1204,1306794,31,21268,98174,259742,6132,42569,49,20,20,1,15,10,33,31.08,66.2,35.74,1005.18,1179.42,1025.64,2184.6,106.14,0,633.27,1179.42,1285.56,1812.69,1918.83,153.78
