ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451813,65495,5527,67006,591617,3428,24839,10,112,1,88,52.41,63.94,49.23,0,4332.24,4612.08,5626.72,259.93,0,4332.24,4592.17,-279.84
2451813,65495,1553,67006,591617,3428,24839,10,242,1,50,67.71,126.61,87.36,0,4368,3385.5,6330.5,349.44,0,4368,4717.44,982.5
2451813,65495,173,67006,591617,3428,24839,10,249,1,65,27.16,52.14,41.19,0,2677.35,1765.4,3389.1,214.18,0,2677.35,2891.53,911.95
2451524,,6928,,1712478,4672,13266,10,,2,32,,,56.8,,,,,,,1817.6,1835.77,266.24
2451524,75316,13927,68284,1712478,4672,13266,10,38,2,65,96.81,158.76,34.92,0,2269.8,6292.65,10319.4,68.09,0,2269.8,2337.89,-4022.85
2451524,75316,10768,68284,1712478,4672,13266,10,37,2,65,93.86,158.62,34.89,0,2267.85,6100.9,10310.3,45.35,0,2267.85,2313.2,-3833.05
2451524,75316,14701,68284,1712478,4672,13266,10,131,2,93,35.87,49.14,15.23,0,1416.39,3335.91,4570.02,113.31,0,1416.39,1529.7,-1919.52
2451524,75316,17420,68284,1712478,4672,13266,10,78,2,30,2.27,3.83,1.11,0,33.3,68.1,114.9,0,0,33.3,33.3,-34.8
2451524,75316,9436,68284,1712478,4672,13266,10,260,2,58,53.09,58.39,7.59,0,440.22,3079.22,3386.62,0,0,440.22,440.22,-2639
,75316,7654,,,4672,,10,,2,,17.12,19.85,,,,,,19.07,,476.77,,-310.75
2451524,75316,12223,68284,1712478,4672,13266,10,144,2,79,88.02,128.5,69.39,4549.9,5481.81,6953.58,10151.5,83.87,4549.9,931.91,1015.78,-6021.67
2451524,75316,15085,68284,1712478,4672,13266,10,111,2,25,74.26,89.11,35.64,0,891,1856.5,2227.75,8.91,0,891,899.91,-965.5
2451524,75316,3740,68284,1712478,4672,13266,10,267,2,78,65.71,88.7,23.06,341.74,1798.68,5125.38,6918.6,131.12,341.74,1456.94,1588.06,-3668.44
2451524,75316,1363,68284,1712478,4672,13266,10,107,2,88,64.43,79.89,41.54,0,3655.52,5669.84,7030.32,146.22,0,3655.52,3801.74,-2014.32
2451524,75316,12068,68284,1712478,4672,13266,10,72,2,49,6.55,7.86,7.46,0,365.54,320.95,385.14,0,0,365.54,365.54,44.59
2451524,75316,13340,68284,1712478,4672,13266,10,38,2,4,13.46,15.34,12.57,0,50.28,53.84,61.36,4.02,0,50.28,54.3,-3.56
2451524,75316,2930,68284,1712478,4672,13266,10,102,2,74,16.55,17.21,4.47,0,330.78,1224.7,1273.54,0,0,330.78,330.78,-893.92
2451524,75316,15782,68284,1712478,4672,13266,10,212,2,71,36.01,64.09,3.2,0,227.2,2556.71,4550.39,4.54,0,227.2,231.74,-2329.51
2452638,50412,12447,44047,586372,697,22622,1,234,3,36,61.23,93.06,11.16,0,401.76,2204.28,3350.16,28.12,0,401.76,429.88,-1802.52
2452638,50412,246,44047,586372,697,22622,1,268,3,62,77.97,85.76,79.75,0,4944.5,4834.14,5317.12,0,0,4944.5,4944.5,110.36
2452638,50412,1531,44047,586372,697,22622,1,143,3,3,21.22,33.31,20.31,0,60.93,63.66,99.93,0,0,60.93,60.93,-2.73
2452638,50412,3525,44047,586372,697,22622,1,293,3,82,56.14,111.15,46.68,0,3827.76,4603.48,9114.3,306.22,0,3827.76,4133.98,-775.72
2452638,50412,13021,44047,586372,697,22622,1,229,3,96,98.02,136.24,104.9,0,10070.4,9409.92,13079.04,100.7,0,10070.4,10171.1,660.48
,,17263,,,,22622,1,222,3,,,130.66,,,3104.46,,3527.82,124.17,,,,
2452638,50412,17971,44047,586372,697,22622,1,165,3,42,97.03,178.53,7.14,0,299.88,4075.26,7498.26,17.99,0,299.88,317.87,-3775.38
2452638,50412,14443,44047,586372,697,22622,1,56,3,64,74.69,120.25,2.4,0,153.6,4780.16,7696,3.07,0,153.6,156.67,-4626.56
2452638,50412,14100,44047,586372,697,22622,1,14,3,17,72.38,111.46,75.79,0,1288.43,1230.46,1894.82,38.65,0,1288.43,1327.08,57.97
2452638,50412,15786,44047,586372,697,22622,1,51,3,88,27.95,38.57,26.99,403.77,2375.12,2459.6,3394.16,0,403.77,1971.35,1971.35,-488.25
2452638,50412,10693,44047,586372,697,22622,1,296,3,4,95.75,146.49,43.94,0,175.76,383,585.96,5.27,0,175.76,181.03,-207.24
2452638,50412,16869,44047,586372,697,22622,1,77,3,79,44.66,83.06,17.44,1115.98,1377.76,3528.14,6561.74,5.23,1115.98,261.78,267.01,-3266.36
2452638,50412,5355,44047,586372,697,22622,1,126,3,56,4.31,6.76,0.06,3.22,3.36,241.36,378.56,0.01,3.22,0.14,0.15,-241.22
2452638,50412,4698,44047,586372,697,22622,1,140,3,27,37.04,58.89,55.35,0,1494.45,1000.08,1590.03,29.88,0,1494.45,1524.33,494.37
2451438,38195,12790,38814,874786,1511,19083,2,37,4,4,75.67,130.15,35.14,0,140.56,302.68,520.6,9.83,0,140.56,150.39,-162.12
2451438,38195,5515,38814,874786,1511,19083,2,90,4,53,23.04,44,26.4,0,1399.2,1221.12,2332,13.99,0,1399.2,1413.19,178.08
2451438,38195,7990,38814,874786,1511,19083,2,130,4,98,85,132.6,90.16,4506.19,8835.68,8330,12994.8,0,4506.19,4329.49,4329.49,-4000.51
2451438,38195,9685,38814,874786,1511,19083,2,114,4,74,81.36,87.05,50.48,0,3735.52,6020.64,6441.7,112.06,0,3735.52,3847.58,-2285.12
2451438,38195,11036,38814,874786,1511,19083,2,166,4,37,73.09,129.36,14.22,0,526.14,2704.33,4786.32,15.78,0,526.14,541.92,-2178.19
2451438,38195,8452,38814,874786,1511,19083,2,77,4,43,54.34,107.59,87.14,0,3747.02,2336.62,4626.37,299.76,0,3747.02,4046.78,1410.4
2451438,38195,5350,38814,874786,1511,19083,2,224,4,23,2.91,3.57,3.53,32.47,81.19,66.93,82.11,0.97,32.47,48.72,49.69,-18.21
2451438,38195,163,38814,874786,1511,19083,2,16,4,56,64.68,78.9,24.45,0,1369.2,3622.08,4418.4,0,0,1369.2,1369.2,-2252.88
2451438,38195,1576,38814,874786,1511,19083,2,284,4,21,40.39,40.39,12.11,0,254.31,848.19,848.19,22.88,0,254.31,277.19,-593.88
2451438,38195,6988,38814,874786,1511,19083,2,229,4,41,67.18,78.6,5.5,0,225.5,2754.38,3222.6,13.53,0,225.5,239.03,-2528.88
2451465,53976,1940,13246,963544,5042,28940,2,152,5,27,26.21,44.81,19.26,0,520.02,707.67,1209.87,46.8,0,520.02,566.82,-187.65
2451465,53976,11324,13246,963544,5042,28940,2,241,5,86,64.67,123.51,55.57,0,4779.02,5561.62,10621.86,47.79,0,4779.02,4826.81,-782.6
2451465,53976,14599,13246,963544,5042,28940,2,190,5,17,54.26,105.8,9.52,116.52,161.84,922.42,1798.6,0,116.52,45.32,45.32,-877.1
2451465,53976,11590,13246,963544,5042,28940,2,150,5,74,81.81,163.62,45.81,0,3389.94,6053.94,12107.88,271.19,0,3389.94,3661.13,-2664
2451465,53976,16792,13246,963544,5042,28940,2,122,5,23,53.28,77.78,1.55,21.03,35.65,1225.44,1788.94,1.16,21.03,14.62,15.78,-1210.82
2451465,53976,6466,13246,963544,5042,28940,2,265,5,16,62.65,114.02,103.75,0,1660,1002.4,1824.32,99.6,0,1660,1759.6,657.6
2451465,53976,15752,13246,963544,5042,28940,2,58,5,66,19.24,34.05,27.24,0,1797.84,1269.84,2247.3,71.91,0,1797.84,1869.75,528
2451465,53976,12650,13246,963544,5042,28940,2,223,5,87,59.32,107.36,51.53,0,4483.11,5160.84,9340.32,134.49,0,4483.11,4617.6,-677.73
2451465,53976,5842,13246,963544,5042,28940,2,168,5,38,47.49,79.3,38.85,1181.04,1476.3,1804.62,3013.4,26.57,1181.04,295.26,321.83,-1509.36
2451465,53976,14686,13246,963544,5042,28940,2,184,5,37,53.24,91.04,2.73,82.82,101.01,1969.88,3368.48,1.27,82.82,18.19,19.46,-1951.69
,53976,6068,13246,,,,2,235,5,32,,63.9,,,,,,91.59,,,1236.55,
2451465,53976,13562,13246,963544,5042,28940,2,70,5,60,69.54,112.65,57.45,0,3447,4172.4,6759,34.47,0,3447,3481.47,-725.4
2451465,53976,13958,13246,963544,5042,28940,2,196,5,52,16.33,32.33,31.68,0,1647.36,849.16,1681.16,115.31,0,1647.36,1762.67,798.2
2451465,53976,1808,13246,963544,5042,28940,2,167,5,83,74.15,89.72,63.7,0,5287.1,6154.45,7446.76,422.96,0,5287.1,5710.06,-867.35
2451465,53976,16195,13246,963544,5042,28940,2,84,5,15,21.21,33.93,30.53,0,457.95,318.15,508.95,22.89,0,457.95,480.84,139.8
2452109,36794,8621,53029,506184,2092,44800,4,12,6,71,22.1,37.57,28.17,0,2000.07,1569.1,2667.47,180,0,2000.07,2180.07,430.97
2452109,36794,3049,53029,506184,2092,44800,4,200,6,36,7.93,12.92,7.36,0,264.96,285.48,465.12,0,0,264.96,264.96,-20.52
2452109,36794,2549,53029,506184,2092,44800,4,10,6,66,71.06,136.43,45.02,0,2971.32,4689.96,9004.38,59.42,0,2971.32,3030.74,-1718.64
2452109,36794,10895,53029,506184,2092,44800,4,185,6,66,21.01,28.57,5.99,0,395.34,1386.66,1885.62,7.9,0,395.34,403.24,-991.32
,36794,11705,,506184,,,4,158,6,50,30.69,59.84,,,,1534.5,,0,0,,1735,200.5
2452109,36794,13513,53029,506184,2092,44800,4,215,6,91,27.68,53.69,0.53,0,48.23,2518.88,4885.79,3.85,0,48.23,52.08,-2470.65
2452109,36794,3291,53029,506184,2092,44800,4,125,6,76,89.78,103.24,50.58,0,3844.08,6823.28,7846.24,153.76,0,3844.08,3997.84,-2979.2
2452109,36794,13245,53029,506184,2092,44800,4,75,6,64,87.9,95.81,66.1,0,4230.4,5625.6,6131.84,0,0,4230.4,4230.4,-1395.2
2452109,36794,10355,53029,506184,2092,44800,4,149,6,60,41.72,52.98,32.31,0,1938.6,2503.2,3178.8,0,0,1938.6,1938.6,-564.6
,36794,6437,53029,,,44800,4,,6,,,77.52,11.62,0,732.06,,4883.76,43.92,,,,-3514.77
2452109,36794,2647,53029,506184,2092,44800,4,206,6,50,30.96,56.34,45.07,0,2253.5,1548,2817,22.53,0,2253.5,2276.03,705.5
2452260,46712,5183,69954,890396,791,37633,2,142,7,23,13.23,18.65,14.54,0,334.42,304.29,428.95,13.37,0,334.42,347.79,30.13
,,4627,69954,,791,,,168,7,,,,,,449.88,,,,,,,142.12
2452260,46712,9751,69954,890396,791,37633,2,72,7,31,49.78,77.15,69.43,0,2152.33,1543.18,2391.65,0,0,2152.33,2152.33,609.15
2452260,46712,15333,69954,890396,791,37633,2,128,7,62,85.07,159.08,76.35,0,4733.7,5274.34,9862.96,189.34,0,4733.7,4923.04,-540.64
2452260,46712,4833,69954,890396,791,37633,2,276,7,1,71.1,89.58,61.81,0,61.81,71.1,89.58,3.7,0,61.81,65.51,-9.29
2452260,46712,10487,69954,890396,791,37633,2,9,7,61,48.18,60.7,18.81,126.21,1147.41,2938.98,3702.7,71.48,126.21,1021.2,1092.68,-1917.78
2452260,46712,5905,69954,890396,791,37633,2,248,7,42,64.46,70.26,32.31,0,1357.02,2707.32,2950.92,27.14,0,1357.02,1384.16,-1350.3
2452260,46712,8955,69954,890396,791,37633,2,153,7,100,41.08,42.31,38.5,0,3850,4108,4231,346.5,0,3850,4196.5,-258
2452260,46712,15179,69954,890396,791,37633,2,252,7,64,86.35,152.83,122.26,6650.94,7824.64,5526.4,9781.12,35.21,6650.94,1173.7,1208.91,-4352.7
2452260,46712,4795,69954,890396,791,37633,2,216,7,94,62.67,99.64,97.64,0,9178.16,5890.98,9366.16,91.78,0,9178.16,9269.94,3287.18
2452260,46712,17255,69954,890396,791,37633,2,198,7,72,55.49,93.77,55.32,0,3983.04,3995.28,6751.44,199.15,0,3983.04,4182.19,-12.24
2452260,46712,12571,69954,890396,791,37633,2,150,7,100,4.45,7.87,7.24,0,724,445,787,57.92,0,724,781.92,279
2452179,52209,4183,86944,578318,6045,49019,8,47,8,4,38.25,75.73,18.93,38.61,75.72,153,302.92,1.85,38.61,37.11,38.96,-115.89
2452179,52209,13427,86944,578318,6045,49019,8,218,8,62,27.39,52.58,2.62,0,162.44,1698.18,3259.96,1.62,0,162.44,164.06,-1535.74
2452179,52209,665,86944,578318,6045,49019,8,274,8,42,66.43,107.61,99,0,4158,2790.06,4519.62,291.06,0,4158,4449.06,1367.94
2452179,52209,11893,86944,578318,6045,49019,8,66,8,45,16.15,21.96,6.8,0,306,726.75,988.2,24.48,0,306,330.48,-420.75
2452179,52209,11365,86944,578318,6045,49019,8,126,8,46,6.34,10.96,9.2,0,423.2,291.64,504.16,21.16,0,423.2,444.36,131.56
2452179,52209,7115,86944,578318,6045,49019,8,6,8,51,84.65,124.43,49.77,0,2538.27,4317.15,6345.93,76.14,0,2538.27,2614.41,-1778.88
2452179,52209,12041,86944,578318,6045,49019,8,210,8,9,56.13,59.49,30.93,0,278.37,505.17,535.41,22.26,0,278.37,300.63,-226.8
2452179,,5929,86944,578318,6045,,,,8,4,,,,,278.6,203.68,366.6,22.28,0,278.6,,
2452179,52209,16671,86944,,,,,85,8,,,72.02,,,,,,,0,,5339.62,1141.7
2452179,52209,17119,86944,578318,6045,49019,8,153,8,88,38.23,72.63,39.22,0,3451.36,3364.24,6391.44,138.05,0,3451.36,3589.41,87.12
2452179,52209,17545,86944,578318,6045,49019,8,153,8,52,63.8,81.02,22.68,0,1179.36,3317.6,4213.04,23.58,0,1179.36,1202.94,-2138.24
2452496,45986,12969,47480,1023064,4248,43385,4,77,9,69,99.85,113.82,110.4,0,7617.6,6889.65,7853.58,0,0,7617.6,7617.6,727.95
2452496,45986,4623,47480,1023064,4248,43385,4,55,9,54,42.82,56.09,21.31,0,1150.74,2312.28,3028.86,92.05,0,1150.74,1242.79,-1161.54
2452496,45986,17310,47480,1023064,4248,43385,4,5,9,12,47.6,75.2,65.42,0,785.04,571.2,902.4,47.1,0,785.04,832.14,213.84
2452496,45986,13717,47480,1023064,4248,43385,4,212,9,73,12.17,14.23,11.24,623.59,820.52,888.41,1038.79,5.9,623.59,196.93,202.83,-691.48
2452496,45986,16363,47480,1023064,4248,43385,4,275,9,69,34.19,58.46,50.86,0,3509.34,2359.11,4033.74,210.56,0,3509.34,3719.9,1150.23
2452496,45986,69,47480,1023064,4248,43385,4,147,9,82,69.53,87.6,34.16,0,2801.12,5701.46,7183.2,0,0,2801.12,2801.12,-2900.34
2452496,45986,16461,47480,1023064,4248,43385,4,289,9,92,40.12,69.8,53.74,0,4944.08,3691.04,6421.6,444.96,0,4944.08,5389.04,1253.04
2452496,45986,889,47480,1023064,4248,43385,4,165,9,51,27.27,35.17,34.81,0,1775.31,1390.77,1793.67,71.01,0,1775.31,1846.32,384.54
2452496,45986,12027,47480,1023064,4248,43385,4,24,9,14,26.32,40,14.4,0,201.6,368.48,560,18.14,0,201.6,219.74,-166.88
2452496,45986,1185,47480,1023064,4248,43385,4,122,9,60,19.62,26.87,15.85,0,951,1177.2,1612.2,9.51,0,951,960.51,-226.2
2452496,45986,16083,47480,1023064,4248,43385,4,109,9,90,81.63,151.83,113.87,9428.43,10248.3,7346.7,13664.7,40.99,9428.43,819.87,860.86,-6526.83
2452496,45986,7945,47480,1023064,4248,43385,4,106,9,87,31.78,63.24,16.44,0,1430.28,2764.86,5501.88,57.21,0,1430.28,1487.49,-1334.58
2452496,45986,13483,47480,1023064,4248,43385,4,123,9,31,15.64,26.43,13.21,0,409.51,484.84,819.33,4.09,0,409.51,413.6,-75.33
2452496,45986,8334,47480,1023064,4248,43385,4,71,9,95,21.29,33.85,20.64,0,1960.8,2022.55,3215.75,98.04,0,1960.8,2058.84,-61.75
2452496,45986,15133,47480,1023064,4248,43385,4,239,9,7,18.65,27.97,20.41,0,142.87,130.55,195.79,1.42,0,142.87,144.29,12.32
2452496,45986,16659,47480,1023064,4248,43385,4,242,9,54,36.99,47.71,27.67,0,1494.18,1997.46,2576.34,89.65,0,1494.18,1583.83,-503.28
2451966,60226,9811,4451,71288,6925,24515,10,299,10,95,91.8,93.63,75.84,6700.46,7204.8,8721,8894.85,5.04,6700.46,504.34,509.38,-8216.66
2451966,60226,3933,4451,71288,6925,24515,10,128,10,83,14.11,27.37,3.28,0,272.24,1171.13,2271.71,13.61,0,272.24,285.85,-898.89
2451966,60226,5863,4451,71288,6925,24515,10,45,10,20,18.95,33.92,31.88,0,637.6,379,678.4,51,0,637.6,688.6,258.6
2451966,60226,4357,4451,71288,6925,24515,10,251,10,51,8.04,8.92,1.07,0,54.57,410.04,454.92,4.91,0,54.57,59.48,-355.47
2451966,60226,15447,4451,71288,6925,24515,10,65,10,49,72.15,104.61,80.54,0,3946.46,3535.35,5125.89,39.46,0,3946.46,3985.92,411.11
2451966,60226,3433,4451,71288,6925,24515,10,45,10,85,26.32,50.27,49.26,0,4187.1,2237.2,4272.95,334.96,0,4187.1,4522.06,1949.9
2451966,60226,755,4451,71288,6925,24515,10,233,10,62,79.76,102.89,0,0,0,4945.12,6379.18,0,0,0,0,-4945.12
2451966,60226,1425,4451,71288,6925,24515,10,5,10,78,41.51,58.94,44.79,0,3493.62,3237.78,4597.32,69.87,0,3493.62,3563.49,255.84
2451966,60226,1511,,,,,10,,10,54,60.42,,,568.63,768.42,3262.68,,17.98,568.63,199.79,217.77,-3062.89
2451966,60226,13803,4451,71288,6925,24515,10,279,10,8,39.39,67.35,28.96,113.52,231.68,315.12,538.8,7.08,113.52,118.16,125.24,-196.96
2452420,68961,7519,48900,781292,2484,22923,8,14,11,59,88.31,106.85,44.87,0,2647.33,5210.29,6304.15,211.78,0,2647.33,2859.11,-2562.96
2452420,68961,1315,48900,781292,2484,22923,8,296,11,34,2.97,3.35,2.04,0,69.36,100.98,113.9,3.46,0,69.36,72.82,-31.62
2452420,68961,12438,48900,781292,2484,22923,8,167,11,33,27.13,53.44,2.13,0,70.29,895.29,1763.52,2.81,0,70.29,73.1,-825
2452420,68961,17395,48900,781292,2484,22923,8,172,11,53,75.37,89.69,54.71,0,2899.63,3994.61,4753.57,115.98,0,2899.63,3015.61,-1094.98
,68961,157,48900,781292,,22923,,,11,54,,,,0,768.42,3873.42,,,,768.42,,
2452420,68961,10699,48900,781292,2484,22923,8,96,11,11,31.7,54.52,47.97,527.67,527.67,348.7,599.72,0,527.67,0,0,-348.7
2452420,68961,15157,48900,781292,2484,22923,8,281,11,66,15.21,26,25.22,66.58,1664.52,1003.86,1716,111.85,66.58,1597.94,1709.79,594.08
2452420,68961,17226,48900,781292,2484,22923,8,287,11,6,27.17,51.62,25.29,0,151.74,163.02,309.72,3.03,0,151.74,154.77,-11.28
2452420,68961,11991,48900,781292,2484,22923,8,1,11,27,98.68,195.38,15.63,0,422.01,2664.36,5275.26,33.76,0,422.01,455.77,-2242.35
2452420,68961,9901,48900,781292,2484,22923,8,139,11,62,55.68,64.03,3.84,233.31,238.08,3452.16,3969.86,0.14,233.31,4.77,4.91,-3447.39
2452420,68961,7608,48900,781292,2484,22923,8,124,11,32,99.1,152.61,132.77,0,4248.64,3171.2,4883.52,339.89,0,4248.64,4588.53,1077.44
2452420,68961,15649,48900,781292,2484,22923,8,239,11,83,8.1,14.58,8.6,0,713.8,672.3,1210.14,64.24,0,713.8,778.04,41.5
,68961,11490,,,2484,,8,109,11,,59.14,108.81,46.78,0,,3311.84,6093.36,,0,2619.68,,-692.16
2451206,35137,6248,20820,63209,3198,42434,8,22,12,71,34.79,36.87,19.17,1197.74,1361.07,2470.09,2617.77,8.16,1197.74,163.33,171.49,-2306.76
2451206,35137,14944,20820,63209,3198,42434,8,111,12,15,35.89,63.88,30.66,0,459.9,538.35,958.2,41.39,0,459.9,501.29,-78.45
2451206,35137,9788,20820,63209,3198,42434,8,1,12,84,76.71,85.14,5.1,0,428.4,6443.64,7151.76,21.42,0,428.4,449.82,-6015.24
2451206,35137,373,20820,63209,3198,42434,8,38,12,28,47.85,50.24,19.09,0,534.52,1339.8,1406.72,37.41,0,534.52,571.93,-805.28
2451206,35137,9616,20820,63209,3198,42434,8,61,12,52,52.19,66.8,26.05,0,1354.6,2713.88,3473.6,94.82,0,1354.6,1449.42,-1359.28
2451206,35137,4888,20820,63209,3198,42434,8,27,12,47,11.71,22.6,3.61,0,169.67,550.37,1062.2,3.39,0,169.67,173.06,-380.7
2451206,35137,14746,20820,63209,3198,42434,8,122,12,17,88.36,133.42,53.36,0,907.12,1502.12,2268.14,0,0,907.12,907.12,-595
2451206,35137,1591,20820,63209,3198,42434,8,250,12,67,33.28,34.61,19.72,0,1321.24,2229.76,2318.87,39.63,0,1321.24,1360.87,-908.52
2451206,35137,6148,20820,63209,3198,42434,8,195,12,83,10.26,17.33,9.18,0,761.94,851.58,1438.39,45.71,0,761.94,807.65,-89.64
2451206,35137,15440,20820,63209,3198,42434,8,91,12,74,82.24,152.96,97.89,0,7243.86,6085.76,11319.04,144.87,0,7243.86,7388.73,1158.1
,,13399,20820,63209,3198,42434,,,12,92,,,,,2092.08,2280.68,3033.24,,0,2092.08,2280.36,-188.6
2450850,65476,5971,15144,1401973,4002,32431,1,95,13,76,31.47,56.01,31.36,0,2383.36,2391.72,4256.76,143,0,2383.36,2526.36,-8.36
2450850,65476,6682,15144,1401973,4002,32431,1,185,13,66,82.35,137.52,82.51,0,5445.66,5435.1,9076.32,0,0,5445.66,5445.66,10.56
2450850,65476,4430,15144,1401973,4002,32431,1,34,13,49,45.22,89.98,40.49,0,1984.01,2215.78,4409.02,158.72,0,1984.01,2142.73,-231.77
2450850,65476,6085,15144,1401973,4002,32431,1,209,13,28,52.96,66.72,40.69,45.57,1139.32,1482.88,1868.16,32.81,45.57,1093.75,1126.56,-389.13
2450850,65476,1760,15144,1401973,4002,32431,1,12,13,61,91.85,135.93,88.35,0,5389.35,5602.85,8291.73,269.46,0,5389.35,5658.81,-213.5
2450850,65476,10096,15144,1401973,4002,32431,1,58,13,25,57.47,107.46,105.31,1737.61,2632.75,1436.75,2686.5,35.8,1737.61,895.14,930.94,-541.61
2450850,65476,1898,15144,1401973,4002,32431,1,89,13,67,72.87,136.26,109,0,7303,4882.29,9129.42,0,0,7303,7303,2420.71
2450850,65476,7640,15144,1401973,4002,32431,1,177,13,94,85.5,147.06,57.35,0,5390.9,8037,13823.64,161.72,0,5390.9,5552.62,-2646.1
2450850,65476,868,15144,1401973,4002,32431,1,68,13,68,7.16,12.88,5.66,107.76,384.88,486.88,875.84,8.31,107.76,277.12,285.43,-209.76
2450850,65476,17240,15144,1401973,4002,32431,1,112,13,70,45.84,49.5,45.54,0,3187.8,3208.8,3465,159.39,0,3187.8,3347.19,-21
2450850,65476,16894,15144,1401973,4002,32431,1,239,13,16,92.94,185.88,46.47,0,743.52,1487.04,2974.08,44.61,0,743.52,788.13,-743.52
2450850,65476,6140,15144,1401973,4002,32431,1,214,13,85,38.04,42.98,22.34,0,1898.9,3233.4,3653.3,56.96,0,1898.9,1955.86,-1334.5
2450850,65476,2191,15144,1401973,4002,32431,1,146,13,84,64.63,101.46,14.2,0,1192.8,5428.92,8522.64,59.64,0,1192.8,1252.44,-4236.12
2450850,65476,7723,15144,1401973,4002,32431,1,199,13,33,73.77,138.68,128.97,0,4256.01,2434.41,4576.44,0,0,4256.01,4256.01,1821.6
2450850,65476,2108,15144,1401973,4002,32431,1,90,13,96,15.52,21.41,21.41,0,2055.36,1489.92,2055.36,61.66,0,2055.36,2117.02,565.44
2450850,65476,11758,15144,1401973,4002,32431,1,68,13,11,34.03,44.23,42.46,0,467.06,374.33,486.53,18.68,0,467.06,485.74,92.73
2452217,34167,13515,19409,1145357,4905,39653,4,113,14,38,3.27,3.56,0.32,0,12.16,124.26,135.28,0.48,0,12.16,12.64,-112.1
2452217,34167,177,19409,1145357,4905,39653,4,294,14,57,46.93,80.71,63.76,0,3634.32,2675.01,4600.47,327.08,0,3634.32,3961.4,959.31
2452217,34167,16929,19409,1145357,4905,39653,4,161,14,66,8.34,15.76,15.76,0,1040.16,550.44,1040.16,83.21,0,1040.16,1123.37,489.72
2452217,34167,16741,19409,1145357,4905,39653,4,277,14,33,66.11,114.37,78.91,0,2604.03,2181.63,3774.21,104.16,0,2604.03,2708.19,422.4
,,11549,,1145357,,39653,4,246,14,,,,,0,,4141.28,,483.99,,5377.68,5861.67,1236.4
2452217,34167,11817,19409,1145357,4905,39653,4,89,14,18,63.85,119.39,35.81,412.53,644.58,1149.3,2149.02,6.96,412.53,232.05,239.01,-917.25
2452217,34167,11653,19409,1145357,4905,39653,4,36,14,75,93.97,122.16,8.55,0,641.25,7047.75,9162,12.82,0,641.25,654.07,-6406.5
2452217,34167,12587,19409,1145357,4905,39653,4,291,14,87,59.58,69.11,8.29,0,721.23,5183.46,6012.57,57.69,0,721.23,778.92,-4462.23
2452217,34167,13069,19409,1145357,4905,39653,4,261,14,36,75.17,75.92,40.23,0,1448.28,2706.12,2733.12,14.48,0,1448.28,1462.76,-1257.84
2452217,34167,4507,19409,1145357,4905,39653,4,1,14,9,7.33,11.94,11.22,31.3,100.98,65.97,107.46,2.09,31.3,69.68,71.77,3.71
