l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
33,60519,5532,2,32,47344.32,0.02,0.05,A,F,12/9/1993,1/4/1994,12/28/1993,COLLECT COD,MAIL,"y ironic, regular"
33,137469,9983,3,5,7532.3,0.05,0.03,A,F,12/9/1993,12/25/1993,12/23/1993,TAKE BACK RETURN,AIR, pending platelets ma
33,33918,3919,4,41,75928.31,0.09,0,R,F,11/9/1993,1/24/1994,11/11/1993,TAKE BACK RETURN,MAIL,as about the slyly regular d
34,88362,871,1,13,17554.68,0,0.07,N,O,10/23/1998,9/14/1998,11/6/1998,NONE,REG AIR,boost fluffily about the quickl
34,89414,1923,2,22,30875.02,0.08,0.06,N,O,10/9/1998,10/16/1998,10/12/1998,NONE,FOB,efully fluffi
34,169544,4577,3,6,9681.24,0.02,0.06,N,O,10/30/1998,9/20/1998,11/5/1998,NONE,FOB,ar pinto beans.
35,450,2951,1,24,32410.8,0.02,0,N,O,2/21/1996,1/3/1996,3/18/1996,TAKE BACK RETURN,FOB,r packages. eve
35,161940,4457,2,34,68065.96,0.06,0.08,N,O,1/22/1996,1/6/1996,1/27/1996,DELIVER IN PERSON,RAIL,ptotes cajole fluffily across
35,120896,8433,3,7,13418.23,0.06,0.04,N,O,1/19/1996,12/22/1995,1/29/1996,NONE,MAIL, deposits believe blith
35,85175,7684,4,25,29004.25,0.06,0.05,N,O,11/26/1995,12/25/1995,12/21/1995,DELIVER IN PERSON,SHIP,gular platele
35,119917,4940,5,34,65854.94,0.08,0.06,N,O,11/8/1995,1/15/1996,11/26/1995,COLLECT COD,MAIL,ites engage according to the iro
35,30762,3266,6,28,47397.28,0.03,0.02,N,O,2/1/1996,12/24/1995,2/28/1996,COLLECT COD,RAIL,ajole final pack
36,119767,9768,1,42,75043.92,0.09,0,N,O,2/3/1996,1/21/1996,2/23/1996,COLLECT COD,SHIP,s integrate about the fur
37,22630,5133,1,40,62105.2,0.09,0.03,A,F,7/21/1992,8/1/1992,8/15/1992,NONE,REG AIR,lyly according to the ironic accounts. sly
37,126782,1807,2,39,70542.42,0.05,0.02,A,F,7/2/1992,8/18/1992,7/28/1992,TAKE BACK RETURN,RAIL,"ts. fluffy, bold theod"
37,12903,5405,3,43,78083.7,0.05,0.08,A,F,7/10/1992,7/6/1992,8/2/1992,DELIVER IN PERSON,TRUCK,nst the fi
38,175839,874,1,44,84252.52,0.04,0.02,N,O,9/29/1996,11/17/1996,9/30/1996,COLLECT COD,MAIL, dazzle quickly against the carefu
39,2320,9821,1,44,53782.08,0.09,0.06,N,O,11/14/1996,12/15/1996,12/12/1996,COLLECT COD,RAIL,c deposits wake fl
39,186582,4137,2,26,43383.08,0.08,0.04,N,O,11/4/1996,10/20/1996,11/20/1996,NONE,FOB,le in place of the carefully r
39,67831,5350,3,46,82746.18,0.06,0.08,N,O,9/26/1996,12/19/1996,10/26/1996,DELIVER IN PERSON,AIR,al accounts af
39,20590,3093,4,32,48338.88,0.07,0.05,N,O,10/2/1996,12/19/1996,10/14/1996,COLLECT COD,MAIL,"the slyly silent instructions. regular, sil"
39,54519,9530,5,43,63360.93,0.01,0.01,N,O,10/17/1996,11/14/1996,10/26/1996,COLLECT COD,MAIL,ideas eat flu
39,94368,6878,6,40,54494.4,0.06,0.05,N,O,12/8/1996,10/22/1996,1/1/1997,COLLECT COD,AIR,ideas. furiously r
64,85951,5952,1,21,40675.95,0.05,0.02,R,F,9/30/1994,9/18/1994,10/26/1994,DELIVER IN PERSON,REG AIR, fluffily pending theodolites h
65,59694,4705,1,26,42995.94,0.03,0.03,A,F,4/20/1995,4/25/1995,5/13/1995,NONE,TRUCK,ly ironic pinto beans. packages haggle
65,73815,8830,2,22,39353.82,0,0.05,N,O,7/17/1995,6/4/1995,7/19/1995,COLLECT COD,FOB,l packages. silent
65,1388,3889,3,21,27076.98,0.09,0.07,N,O,7/6/1995,5/14/1995,7/31/1995,DELIVER IN PERSON,RAIL,was above the furiously final warthogs. iro
66,115118,7630,1,31,35126.41,0,0.08,R,F,2/19/1994,3/11/1994,2/20/1994,TAKE BACK RETURN,RAIL,"haggle blithely according to the even, "
66,173489,3490,2,41,64061.68,0.04,0.07,A,F,2/21/1994,3/1/1994,3/18/1994,COLLECT COD,AIR,ut the slyl
67,21636,9143,1,4,6230.52,0.09,0.04,N,O,4/17/1997,1/31/1997,4/20/1997,NONE,SHIP, above the blithely f
67,20193,5198,2,12,13358.28,0.09,0.05,N,O,1/27/1997,2/21/1997,2/22/1997,NONE,REG AIR,blithely. blithely pe
67,173600,6118,3,5,8368,0.03,0.07,N,O,2/20/1997,2/12/1997,2/21/1997,DELIVER IN PERSON,TRUCK,. slyly final asymptotes maintai
67,87514,7515,4,44,66066.44,0.08,0.06,N,O,3/18/1997,1/29/1997,4/13/1997,DELIVER IN PERSON,RAIL,lets haggle slyly. carefully blithe asymp
67,40613,8126,5,23,35733.03,0.05,0.07,N,O,4/19/1997,2/14/1997,5/6/1997,DELIVER IN PERSON,REG AIR,"ial, final request"
67,178306,824,6,29,40144.7,0.02,0.05,N,O,1/25/1997,1/27/1997,1/27/1997,DELIVER IN PERSON,FOB,ular foxes 
68,7068,9569,1,3,2925.18,0.05,0.02,N,O,7/4/1998,6/5/1998,7/21/1998,NONE,RAIL,ly regular excuses. blithely express braid
68,175180,2732,2,46,57738.28,0.02,0.05,N,O,6/26/1998,6/7/1998,7/5/1998,NONE,MAIL,o beans. packages cajole furiously. r
68,34980,7484,3,46,88089.08,0.04,0.05,N,O,8/13/1998,7/8/1998,8/29/1998,NONE,RAIL,aggle furiously across the slyly final depo
68,94728,2256,4,20,34454.4,0.07,0.01,N,O,6/27/1998,5/23/1998,7/2/1998,NONE,REG AIR,onic foxes. blithely regular
68,82758,5267,5,27,47000.25,0.03,0.06,N,O,6/19/1998,6/25/1998,6/29/1998,DELIVER IN PERSON,SHIP,arefully special excuses. instru
68,102561,5072,6,30,46906.8,0.05,0.06,N,O,8/11/1998,7/11/1998,8/14/1998,NONE,RAIL,ifts across the slyly expre
68,139247,1761,7,41,52735.84,0.09,0.08,N,O,6/24/1998,6/27/1998,7/6/1998,NONE,SHIP,"ravely busy pinto beans. regular, r"
69,115209,7721,1,48,58761.6,0.01,0.07,A,F,8/17/1994,8/11/1994,9/8/1994,NONE,TRUCK,y against the slyly unusual foxes. regular
69,104180,9201,2,32,37893.76,0.08,0.06,A,F,8/24/1994,8/17/1994,8/31/1994,NONE,REG AIR,gh the blithely express 
69,137267,4807,3,17,22172.42,0.09,0,A,F,7/2/1994,7/7/1994,7/3/1994,TAKE BACK RETURN,AIR,the pinto beans. bli
69,37502,2509,4,3,4318.5,0.09,0.04,R,F,6/6/1994,7/27/1994,6/15/1994,NONE,MAIL,haggle furiously 
69,92070,7089,5,42,44606.94,0.07,0.04,R,F,7/31/1994,7/26/1994,8/28/1994,DELIVER IN PERSON,REG AIR,nts. theodolites wa
69,18504,1006,6,23,32717.5,0.05,0,A,F,10/3/1994,8/6/1994,10/24/1994,NONE,SHIP,cies nag. express
70,64128,9141,1,8,8736.96,0.03,0.08,R,F,1/12/1994,2/27/1994,1/14/1994,TAKE BACK RETURN,FOB,ng the regular pinto beans. fluff
70,196156,1195,2,13,16277.95,0.06,0.06,A,F,3/3/1994,2/13/1994,3/26/1994,COLLECT COD,AIR,. bold packages acr
70,179809,7361,3,1,1888.8,0.03,0.05,R,F,1/26/1994,3/5/1994,1/28/1994,TAKE BACK RETURN,RAIL,ts nag. fluffily unusual ideas along th
70,45734,743,4,11,18477.03,0.01,0.05,A,F,3/17/1994,3/17/1994,3/27/1994,NONE,MAIL,ts haggle blithely express dep
70,37131,2138,5,37,39520.81,0.09,0.04,R,F,2/13/1994,3/16/1994,2/21/1994,COLLECT COD,MAIL,e packages. quick
70,55655,3171,6,19,30602.35,0.06,0.03,A,F,1/26/1994,2/17/1994,2/6/1994,TAKE BACK RETURN,SHIP,ans boost slyly. final dependenc
71,61931,1932,1,25,47323.25,0.09,0.07,N,O,4/10/1998,4/22/1998,4/11/1998,COLLECT COD,FOB, daring pin
71,65916,3435,2,3,5645.73,0.09,0.07,N,O,5/23/1998,4/3/1998,6/2/1998,COLLECT COD,SHIP,o beans. final dependencies mol
71,34432,1942,3,45,61489.35,0,0.07,N,O,2/23/1998,3/20/1998,3/24/1998,DELIVER IN PERSON,SHIP,y ironic packages wake carefully fu
71,96645,9155,4,33,54174.12,0,0.01,N,O,4/12/1998,3/20/1998,4/15/1998,NONE,FOB,ravely. slowly ironic epitaphs arou
71,103255,5766,5,39,49071.75,0.08,0.06,N,O,1/29/1998,4/7/1998,2/18/1998,DELIVER IN PERSON,RAIL,g the blithely ironic deposits. 
71,195635,674,6,34,58841.42,0.04,0.01,N,O,3/5/1998,4/22/1998,3/30/1998,DELIVER IN PERSON,TRUCK,ns. pendin
96,123076,613,1,23,25278.61,0.1,0.06,A,F,7/19/1994,6/29/1994,7/25/1994,DELIVER IN PERSON,TRUCK,furiously stealthy
96,135390,5391,2,30,42761.7,0.01,0.06,R,F,6/3/1994,5/29/1994,6/22/1994,DELIVER IN PERSON,TRUCK,sublate furiously. silently 
97,119477,1989,1,13,19454.11,0,0.02,R,F,4/1/1993,4/4/1993,4/8/1993,NONE,TRUCK,as: blithely ironic packages wake 
97,49568,2073,2,37,56149.72,0.02,0.06,A,F,4/13/1993,3/30/1993,4/14/1993,DELIVER IN PERSON,SHIP,st the slyly thin accounts. requ
97,77699,5221,3,19,31857.11,0.06,0.08,R,F,5/14/1993,3/5/1993,5/25/1993,TAKE BACK RETURN,RAIL,final deposits detect slyly slyly regular
98,40216,217,1,28,32373.88,0.06,0.07,A,F,12/24/1994,10/25/1994,1/16/1995,COLLECT COD,REG AIR,gular accounts after the sly
98,109743,7274,2,1,1752.74,0,0,A,F,12/1/1994,12/12/1994,12/15/1994,DELIVER IN PERSON,TRUCK,ly express asymptotes haggle c
98,44706,4707,3,14,23109.8,0.05,0.02,A,F,12/30/1994,11/22/1994,1/27/1995,COLLECT COD,AIR,"e special, special deposits. ironic depos"
98,167180,7181,4,10,12471.8,0.03,0.03,A,F,10/23/1994,11/8/1994,11/9/1994,COLLECT COD,RAIL,. fluffily regular instructions 
99,87114,4639,1,10,11011.1,0.02,0.01,A,F,5/18/1994,6/3/1994,5/23/1994,COLLECT COD,RAIL,requests ca
99,123766,3767,2,5,8948.8,0.02,0.07,R,F,5/6/1994,5/28/1994,5/20/1994,TAKE BACK RETURN,RAIL, slyly ironic accounts cajole. fina
99,134082,1622,3,42,46875.36,0.02,0.02,A,F,4/19/1994,5/18/1994,4/20/1994,NONE,RAIL,nic requests. furiously regular
99,108338,849,4,36,48467.88,0.09,0.02,A,F,7/4/1994,4/17/1994,7/30/1994,DELIVER IN PERSON,AIR,lithely even p
100,62029,2030,1,28,27748.56,0.04,0.05,N,O,5/8/1998,5/13/1998,6/7/1998,COLLECT COD,TRUCK,ithely along the 
100,115979,8491,2,22,43889.34,0,0.07,N,O,6/24/1998,4/12/1998,6/29/1998,DELIVER IN PERSON,SHIP,ar accounts boost slyly. brav
100,46150,8655,3,46,50422.9,0.03,0.04,N,O,5/2/1998,4/10/1998,5/22/1998,TAKE BACK RETURN,SHIP,kly ironic requests
100,38024,3031,4,14,13468.28,0.06,0.03,N,O,5/22/1998,5/1/1998,6/3/1998,COLLECT COD,MAIL,ter the regular courts nag b
100,53439,955,5,37,51519.91,0.05,0,N,O,3/6/1998,4/16/1998,3/31/1998,TAKE BACK RETURN,TRUCK, pending depende
101,118282,5816,1,49,63713.72,0.1,0,N,O,6/21/1996,5/27/1996,6/29/1996,DELIVER IN PERSON,REG AIR,carefully express excuses wake alo
101,163334,883,2,36,50303.88,0,0.01,N,O,5/19/1996,5/1/1996,6/4/1996,DELIVER IN PERSON,AIR,ar asymptotes about the blithely regul
101,138418,5958,3,12,17476.92,0.06,0.02,N,O,3/29/1996,4/20/1996,4/12/1996,COLLECT COD,MAIL,y dogged courts a
102,88914,3931,1,37,70407.67,0.06,0,N,O,7/24/1997,8/2/1997,8/7/1997,TAKE BACK RETURN,SHIP,e slyly regular foxes are alongside 
102,169238,6787,2,34,44445.82,0.03,0.08,N,O,8/9/1997,7/28/1997,8/26/1997,TAKE BACK RETURN,SHIP,s nag. furiously expr
102,182321,4840,3,25,35083,0.01,0.01,N,O,7/31/1997,7/24/1997,8/17/1997,NONE,RAIL,notornis: furiously
102,61158,8677,4,15,16787.25,0.07,0.07,N,O,6/2/1997,7/13/1997,6/4/1997,DELIVER IN PERSON,SHIP,s believe. packages doubt carefully
103,194658,2216,1,6,10515.9,0.03,0.05,N,O,10/11/1996,7/25/1996,10/28/1996,NONE,FOB,oost carefully above
103,10426,2928,2,37,49447.54,0.02,0.07,N,O,9/17/1996,7/27/1996,9/20/1996,TAKE BACK RETURN,MAIL,asymptotes. fluffily regular dependencies
103,28431,8432,3,23,31266.89,0.01,0.04,N,O,9/11/1996,9/18/1996,9/26/1996,NONE,FOB,refully. iro
103,29022,4027,4,32,30432.64,0.01,0.07,N,O,7/30/1996,8/6/1996,8/4/1996,NONE,RAIL," haggle slyly. regular, express foxe"
128,106828,9339,1,38,69723.16,0.06,0.01,A,F,9/1/1992,8/27/1992,10/1/1992,TAKE BACK RETURN,FOB,ructions impres
129,2867,5368,1,46,81413.56,0.08,0.02,R,F,2/15/1993,1/24/1993,3/5/1993,COLLECT COD,TRUCK,osits along the carefully final 
129,185164,5165,2,36,44969.76,0.01,0.02,A,F,11/25/1992,12/25/1992,12/9/1992,TAKE BACK RETURN,REG AIR,even excuses cajo
129,39444,1948,3,33,45653.52,0.04,0.06,A,F,1/8/1993,2/14/1993,1/29/1993,COLLECT COD,SHIP,counts through the bold t
129,135137,164,4,34,39852.42,0,0.01,R,F,1/29/1993,2/14/1993,2/10/1993,COLLECT COD,MAIL,des. pinto beans slee
129,31373,8883,5,24,31304.88,0.06,0,A,F,12/7/1992,1/2/1993,12/11/1992,TAKE BACK RETURN,FOB,ate carefully carefully final packages
129,77050,4572,6,22,22595.1,0.06,0.01,R,F,2/15/1993,1/31/1993,2/24/1993,COLLECT COD,SHIP,ckages boost blithel
129,168569,3602,7,1,1637.56,0.05,0.04,R,F,1/26/1993,1/8/1993,2/24/1993,DELIVER IN PERSON,FOB,ly pending packages wake slyly
130,128816,8817,1,14,25827.34,0.08,0.05,A,F,8/15/1992,7/25/1992,9/13/1992,COLLECT COD,RAIL,oxes. doggedly ironic deposi
130,1739,4240,2,48,78755.04,0.03,0.02,R,F,7/1/1992,7/12/1992,7/24/1992,NONE,AIR,ages use slyly even courts. c
130,11860,1861,3,18,31893.48,0.04,0.08,A,F,7/4/1992,6/14/1992,7/29/1992,DELIVER IN PERSON,MAIL,s. permanently regular pi
130,115635,3169,4,13,21458.19,0.09,0.02,R,F,6/26/1992,7/29/1992,7/5/1992,NONE,FOB,ular requests nag carefully spe
130,69130,4143,5,31,34073.03,0.06,0.05,R,F,9/1/1992,7/18/1992,9/2/1992,TAKE BACK RETURN,RAIL, blithely even pinto
131,167505,22,1,45,70762.5,0.1,0.02,R,F,9/14/1994,9/2/1994,10/4/1994,NONE,FOB, are slyly about the slyly fin
131,44255,9264,2,50,59962.5,0.02,0.04,A,F,9/17/1994,8/10/1994,9/21/1994,NONE,SHIP,riously at the furiously express dependenc
131,189021,1540,3,4,4440.08,0.04,0.03,A,F,9/20/1994,8/30/1994,9/23/1994,COLLECT COD,REG AIR,e final foxes are furi
132,140449,2964,1,18,26809.92,0,0.08,R,F,7/10/1993,8/5/1993,7/13/1993,NONE,TRUCK,ss the special theodolite
132,119053,9054,2,43,46098.15,0.01,0.08,R,F,9/1/1993,8/16/1993,9/22/1993,NONE,TRUCK,furiously slyly regul
132,114419,4420,3,32,45869.12,0.04,0.04,A,F,7/12/1993,8/5/1993,8/5/1993,COLLECT COD,TRUCK, packages. pending 
132,28082,5589,4,23,23231.84,0.1,0,A,F,6/16/1993,8/27/1993,6/23/1993,DELIVER IN PERSON,AIR,ully carefully unusual for
133,103432,5943,1,27,38756.61,0,0.02,N,O,12/21/1997,2/23/1998,12/27/1997,TAKE BACK RETURN,MAIL,structions sleep furiously 
133,176279,3831,2,12,16263.24,0.02,0.06,N,O,12/2/1997,1/15/1998,12/29/1997,DELIVER IN PERSON,REG AIR,requests thrash at the furio
133,117350,4884,3,29,39653.15,0.09,0.08,N,O,2/28/1998,1/30/1998,3/9/1998,DELIVER IN PERSON,RAIL,iously final pinto beans integr
133,89855,7380,4,11,20293.35,0.06,0.01,N,O,3/21/1998,1/15/1998,4/4/1998,DELIVER IN PERSON,REG AIR,structions integrate quickly.
134,641,642,1,21,32374.44,0,0.03,A,F,7/17/1992,7/8/1992,7/26/1992,COLLECT COD,SHIP,pending pinto bean
134,164645,9678,2,35,59837.4,0.06,0.07,A,F,8/23/1992,6/1/1992,8/24/1992,NONE,MAIL,r pinto beans. carefully ir
134,188252,3289,3,26,34846.5,0.09,0.06,A,F,6/20/1992,7/12/1992,7/16/1992,NONE,RAIL,sits wake. furiously fin
134,144002,4003,4,47,49162,0.05,0,A,F,8/16/1992,7/6/1992,8/28/1992,NONE,REG AIR,l foxes: final foxes integrate fluffily aft
134,35172,5173,5,12,13286.04,0.05,0.02,A,F,7/3/1992,6/1/1992,7/11/1992,COLLECT COD,TRUCK,quickly fina
134,133103,5617,6,12,13633.2,0,0,A,F,8/8/1992,7/7/1992,8/20/1992,TAKE BACK RETURN,FOB,e alongside of t
135,108205,8206,1,47,57020.4,0.06,0.08,N,O,2/18/1996,1/1/1996,2/25/1996,COLLECT COD,RAIL,xpress instructions. 
135,198344,5902,2,21,30289.14,0,0.07,N,O,2/11/1996,1/12/1996,2/13/1996,DELIVER IN PERSON,SHIP,er the blithely enticing dolphins. iro
135,157510,5056,3,33,51727.83,0.02,0,N,O,1/3/1996,11/21/1995,2/1/1996,TAKE BACK RETURN,MAIL,special accounts are acr
135,67005,9512,4,34,33048,0.02,0.03,N,O,1/12/1996,1/19/1996,2/5/1996,NONE,TRUCK,cording to the deposits. blithely expr
135,136248,1275,5,20,25684.8,0.01,0.04,N,O,1/25/1996,11/20/1995,2/9/1996,NONE,MAIL,. carefully express pa
135,115000,2534,6,13,13195,0.04,0.02,N,O,11/12/1995,12/22/1995,11/17/1995,NONE,FOB,the packages. carefull
160,14785,9788,1,36,61192.08,0.07,0.01,N,O,3/11/1997,3/11/1997,3/20/1997,COLLECT COD,MAIL, unusual excuses boost: unusual depen
160,86382,8891,2,22,30104.36,0,0.04,N,O,2/18/1997,3/5/1997,3/5/1997,COLLECT COD,RAIL, carefully even epitaph
160,20080,5085,3,34,34002.72,0.01,0.05,N,O,1/31/1997,3/13/1997,2/14/1997,NONE,FOB,e furiously blithely even accounts. bli
161,102810,341,1,19,34443.39,0.01,0.01,A,F,12/13/1994,11/19/1994,12/26/1994,DELIVER IN PERSON,TRUCK,le daringly according to the 
162,189288,4325,1,2,2754.56,0.02,0.01,N,O,9/2/1995,6/17/1995,9/8/1995,COLLECT COD,FOB,ly regular packages. quic
163,167545,5094,1,43,69339.22,0.01,0,N,O,9/19/1997,11/19/1997,10/3/1997,COLLECT COD,REG AIR, ideas. blithely regular foxes n
163,120702,703,2,13,22395.1,0.01,0.04,N,O,11/11/1997,10/18/1997,12/7/1997,DELIVER IN PERSON,TRUCK, orbits could have to are blithely 
163,36818,9322,3,27,47379.87,0.04,0.08,N,O,12/26/1997,11/28/1997,1/5/1998,COLLECT COD,REG AIR,slyly final packages. 
163,192642,5162,4,5,8673.2,0.02,0,N,O,11/17/1997,10/9/1997,12/5/1997,DELIVER IN PERSON,TRUCK,s use furio
163,126090,8603,5,12,13393.08,0.1,0,N,O,12/18/1997,10/26/1997,12/22/1997,COLLECT COD,TRUCK,s wake theodolites. deposi
163,190825,5864,6,20,38316.4,0,0.07,N,O,9/27/1997,11/15/1997,10/7/1997,TAKE BACK RETURN,FOB, final packages subla
164,91309,3819,1,26,33807.8,0.09,0.04,A,F,1/4/1993,11/21/1992,1/7/1993,NONE,RAIL,fully unusual requests serve after the
164,18488,3491,2,24,33755.52,0.05,0.05,R,F,12/22/1992,11/27/1992,1/6/1993,NONE,AIR,s sleep fluffily. pending asymptotes wak
164,125509,3046,3,38,58311,0.03,0.06,R,F,12/4/1992,11/23/1992,1/2/1993,TAKE BACK RETURN,AIR,uses nag quickly slyly express theodolites
164,17526,28,4,32,46192.64,0.05,0.01,R,F,12/21/1992,12/23/1992,12/28/1992,COLLECT COD,RAIL,. regular acc
164,147505,2534,5,43,66757.5,0.06,0.01,R,F,11/26/1992,1/3/1993,12/8/1992,COLLECT COD,RAIL,ages against the furiou
164,108896,8897,6,27,51432.03,0.1,0.04,R,F,12/23/1992,1/16/1993,1/10/1993,DELIVER IN PERSON,AIR,ackages boost along th
164,3037,5538,7,23,21620.69,0.09,0.04,A,F,11/3/1992,12/2/1992,11/12/1992,NONE,REG AIR,blithely even pearls was slyly regular in
165,33175,8182,1,3,3324.51,0.01,0.08,R,F,3/29/1993,3/6/1993,4/12/1993,DELIVER IN PERSON,REG AIR,packages are. blithely 
165,161627,9176,2,43,72610.66,0.08,0.05,R,F,2/27/1993,4/19/1993,3/3/1993,DELIVER IN PERSON,TRUCK,nding pinto beans. sl
165,58520,6036,3,15,22177.8,0,0.05,R,F,4/10/1993,3/29/1993,5/1/1993,COLLECT COD,SHIP,eposits. blithely exp
165,139190,4217,4,49,60230.31,0.07,0.06,A,F,2/20/1993,4/2/1993,3/10/1993,COLLECT COD,REG AIR, final braids. carefully pending acco
165,155084,7600,5,27,30755.16,0.01,0.04,R,F,4/27/1993,3/4/1993,5/13/1993,NONE,MAIL,o detect. special ideas wak
166,64888,9901,1,37,68556.56,0.09,0.03,N,O,11/16/1995,10/17/1995,12/13/1995,NONE,MAIL,", final accounts. slyly e"
166,166366,6367,2,13,18620.68,0.09,0.05,N,O,11/9/1995,11/18/1995,11/14/1995,COLLECT COD,SHIP,courts. busily even packages 
166,99652,2162,3,41,67717.65,0.07,0.03,N,O,11/13/1995,11/7/1995,12/8/1995,COLLECT COD,FOB,deposits according to the even pac
166,45027,7532,4,8,7776.16,0.05,0.02,N,O,12/30/1995,11/29/1995,1/29/1996,DELIVER IN PERSON,RAIL,egular deposits h
167,101171,1172,1,28,32820.76,0.06,0.01,R,F,2/19/1993,2/16/1993,3/3/1993,DELIVER IN PERSON,TRUCK,hely. carefully 
167,171555,4073,2,27,43916.85,0.09,0,R,F,5/1/1993,3/31/1993,5/31/1993,TAKE BACK RETURN,FOB,. final attainments along the f
