o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
131,92749,F,130464.09,6/8/1994,3-MEDIUM,Clerk#000000625,0, place of the ironic accounts are even packa
132,26395,F,144947.21,6/11/1993,3-MEDIUM,Clerk#000000488,0,"posits. bold pains wake quickly regular requests. unusual, quick ideas be"
133,44000,O,114663.57,11/29/1997,1-URGENT,Clerk#000000738,0,yly even requests. car
134,6199,F,200354.3,5/1/1992,4-NOT SPECIFIED,Clerk#000000711,0,r platelets. account
135,60481,O,213713.99,10/21/1995,4-NOT SPECIFIED,Clerk#000000804,0,y pending forges detect bli
160,82495,O,124132.06,12/19/1996,4-NOT SPECIFIED,Clerk#000000342,0, express instructions thrash regular re
161,16619,F,34439.93,8/31/1994,2-HIGH,Clerk#000000322,0,ely even courts after the pinto bea
162,14116,O,2726.45,5/8/1995,3-MEDIUM,Clerk#000000378,0,excuses haggle. carefully final requests cajole furiously furiousl
163,87760,O,202379.28,9/5/1997,3-MEDIUM,Clerk#000000379,0,s wake furiously. excuses use carefully carefully re
164,779,F,301925.76,10/21/1992,5-LOW,Clerk#000000209,0,ests. quickly final accounts engage according to the special theodolites. spec
165,27238,F,188023.67,1/30/1993,4-NOT SPECIFIED,Clerk#000000292,0,uriously carefully regular warhorses. unus
166,107812,O,154451.92,9/12/1995,2-HIGH,Clerk#000000440,0,uses sleep quickly furiously even gi
167,119402,F,71124.35,1/4/1993,4-NOT SPECIFIED,Clerk#000000731,0, carefully above the express packages. brav
192,82570,O,167668.42,11/25/1997,5-LOW,Clerk#000000483,0,ic decoys. final platelets wake slyly. furiously final platele
193,79061,F,88699.17,8/8/1993,1-URGENT,Clerk#000000025,0,p furiously alongside o
194,61724,F,176707.84,4/5/1992,3-MEDIUM,Clerk#000000352,0,"fter the regular requests. express instructions above the ironic, ir"
195,135421,F,191542.31,12/28/1993,3-MEDIUM,Clerk#000000216,0,ly express pinto beans. regular requests s
196,64825,F,47095.31,3/17/1993,2-HIGH,Clerk#000000988,0,es. pending theodolites hinder quickly
197,32512,P,163700.57,4/7/1995,2-HIGH,Clerk#000000969,0,he final accounts. sometimes unusual deposits about the carefully final re
198,110218,O,176189.31,1/2/1998,4-NOT SPECIFIED,Clerk#000000331,0,y theodolites cajole. blithely special packages haggle furi
199,52970,O,112986.49,3/7/1996,2-HIGH,Clerk#000000489,0,lyly express frets. blithely 
224,2476,F,259960.36,6/18/1994,4-NOT SPECIFIED,Clerk#000000642,0,sly bold pinto beans. unusual deposi
225,33031,P,220441.09,5/25/1995,1-URGENT,Clerk#000000177,0,. blithely regular requests sleep furiously across the slyly 
226,127466,F,313134.62,3/10/1993,2-HIGH,Clerk#000000756,0,y silent requests. fluffily even deposits 
227,9883,O,54880.58,11/10/1995,5-LOW,Clerk#000000919,0,wake blithely alongside of the flu
228,44078,F,2749.87,2/25/1993,1-URGENT,Clerk#000000562,0,final accounts impress ironically slow theodolites. blithely pend
229,111728,F,213076.69,12/29/1993,1-URGENT,Clerk#000000628,0, foxes. quickly pending theodolites sleep 
230,102535,F,171318.37,10/27/1993,1-URGENT,Clerk#000000520,0,ely special accounts according
231,90818,F,191808.17,9/29/1994,2-HIGH,Clerk#000000446,0,ly carefully regular deposits. carefully even packages at 
256,124831,F,130775.45,10/19/1993,4-NOT SPECIFIED,Clerk#000000834,0,foxes affix ironically fluffily final requests. carefully sil
257,122693,O,8649.81,3/28/1998,3-MEDIUM,Clerk#000000680,0,uriously pending deposits! regular foxes sleep aft
258,41861,F,294182.42,12/29/1993,1-URGENT,Clerk#000000167,0,yly unusual excuses use carefully. carefully ruthless epitaphs aro
259,43186,F,123298.34,9/29/1993,4-NOT SPECIFIED,Clerk#000000601,0,blithely final packages. quickly even accounts detect quickly. slyly ironic fo
260,104728,O,272353.52,12/10/1996,3-MEDIUM,Clerk#000000960,0,final packages. accounts snooze alongside of the f
261,46072,F,319306.86,6/29/1993,3-MEDIUM,Clerk#000000310,0,cajole along the slyly even theodolites. f
262,30352,O,143146.21,11/25/1995,4-NOT SPECIFIED,Clerk#000000551,0,ate fluffily under the quickly regular ideas. qui
263,116069,F,149369.68,5/17/1994,2-HIGH,Clerk#000000088,0,olites sleep ironic instructions. 
288,7093,O,266047.6,2/21/1997,1-URGENT,Clerk#000000109,0,"nts wake. even, pending pinto beans boost quic"
289,103750,O,211162.52,2/10/1997,3-MEDIUM,Clerk#000000103,0,ld multipliers cajole furi
290,117952,F,99019.42,1/1/1994,4-NOT SPECIFIED,Clerk#000000735,0,s use slyly alongside of the f
291,141050,F,108550.11,3/13/1994,1-URGENT,Clerk#000000923,0,jole carefully. finally final packages above
292,22252,F,40637.14,1/13/1992,2-HIGH,Clerk#000000193,0,haggle blithely according to the i
293,29929,F,58638.09,10/2/1992,2-HIGH,Clerk#000000629,0, wake. blithely regular requests enga
294,50498,F,49457.9,7/16/1993,3-MEDIUM,Clerk#000000499,0,s use above the even packages. furiously even accounts wa
295,18985,F,130843.69,9/29/1994,2-HIGH,Clerk#000000155,0,"s promise idly ironic, special requests. carefu"
320,302,O,53743.6,11/21/1997,2-HIGH,Clerk#000000573,0,ts haggle even excuse
321,122591,F,86823.16,3/21/1993,3-MEDIUM,Clerk#000000289,0,". packages sleep furiously above the slyly stealthy requests. pending,"
322,133546,F,205623.5,3/19/1992,1-URGENT,Clerk#000000158,0, the furiously final deposits use never pending foxes. slyly even deposits c
323,39133,F,119432.07,3/26/1994,1-URGENT,Clerk#000000959,0,endencies cajole blithely deposits. foxes unwind across the
324,105155,F,38451.38,3/20/1992,1-URGENT,Clerk#000000352,0,y after the carefully final accounts. ironic instructions alongside 
325,40024,F,125113.94,10/17/1993,5-LOW,Clerk#000000844,0,ptotes hinder across th
326,75986,O,327413.14,6/4/1995,2-HIGH,Clerk#000000466,0,etect fluffily. carefully express theodolites above the closely even gifts 
327,144598,P,38488.56,4/17/1995,5-LOW,Clerk#000000992,0, slyly across the blithely final ideas. fluffily eve
352,106456,F,28648.47,3/8/1994,2-HIGH,Clerk#000000932,0,detect above the quickly ironic theodolites. pending accounts dazzle
353,1777,F,249710.43,12/31/1993,5-LOW,Clerk#000000449,0,"ar, regular attainments are carefully furiously express deposits"
354,138268,O,217160.72,3/14/1996,2-HIGH,Clerk#000000511,0,"al, express packages cajole furiously besides the carefully final package"
355,70007,F,99516.75,6/14/1994,5-LOW,Clerk#000000532,0,ly regular theodolites. blithely ironic requests could have to ha
356,146809,F,209439.04,6/30/1994,4-NOT SPECIFIED,Clerk#000000944,0, slyly final pinto beans. special packa
357,60395,O,157411.61,10/9/1996,2-HIGH,Clerk#000000301,0,lithely special packages. quickly express instructio
358,2290,F,354132.39,9/20/1993,2-HIGH,Clerk#000000392,0,n excuses. special requests sleep. silent dolphins
359,77600,F,239998.53,12/19/1994,3-MEDIUM,Clerk#000000934,0,bout the blithely final accounts detect slyly dependencies. deposi
384,113009,F,166753.71,3/3/1992,5-LOW,Clerk#000000206,0,"deposits wake slyly above the bold dolphins. special, ev"
385,32947,O,54948.26,3/22/1996,5-LOW,Clerk#000000600,0,"excuses are slyly express, fina"
386,60110,F,110216.57,1/25/1995,2-HIGH,Clerk#000000648,0,ackages. courts are unusual deposits. bold requests serve quickly along the qu
387,3296,O,204546.39,1/26/1997,4-NOT SPECIFIED,Clerk#000000768,0,even platelets cajole slyly. ironic ideas affix furiously pending de
388,44668,F,198800.71,12/16/1992,4-NOT SPECIFIED,Clerk#000000356,0,ly regular pinto beans boost carefully special pearls. carefully e
389,126973,F,2519.4,2/17/1994,2-HIGH,Clerk#000000062,0, ironic packages detect carefully. fluffily even pinto beans thrash slyly 
390,102563,O,269761.09,4/7/1998,5-LOW,Clerk#000000404,0,r pinto beans. final instructions boost across the the
391,110278,F,20890.17,11/17/1994,2-HIGH,Clerk#000000256,0,eas after the regula
416,40130,F,105675.2,9/27/1993,5-LOW,Clerk#000000294,0,. deposits haggle along the slyly
417,54583,F,125155.22,2/6/1994,3-MEDIUM,Clerk#000000468,0,are slyly. deposits boost above the blithely bold excuses. deposits cajole fu
418,94834,P,53328.48,4/13/1995,4-NOT SPECIFIED,Clerk#000000643,0,symptotes engage accounts.
419,116261,O,165454.42,10/1/1996,3-MEDIUM,Clerk#000000376,0, wake carefully after the fluffily ironic accounts.
420,90145,O,343254.06,10/31/1995,4-NOT SPECIFIED,Clerk#000000756,0,"y above the pinto beans. blithely ironic foxes wake furiously ironic, ironic d"
421,39149,F,1156.67,2/22/1992,5-LOW,Clerk#000000405,0,"ular accounts could was about the bold, bold asy"
422,73075,O,188124.81,5/31/1997,4-NOT SPECIFIED,Clerk#000000049,0,aggle about the slyly regular accounts. slyly express ideas doub
423,103396,O,50240.88,6/1/1996,1-URGENT,Clerk#000000674,0,y bold theodolites wake blithely. slyly ironic deposits alongside
448,149641,O,165954.35,8/21/1995,3-MEDIUM,Clerk#000000597,0,ly bold excuses. packages after the slowly
449,95767,O,71120.82,7/20/1995,2-HIGH,Clerk#000000841,0,ly above the slowly ironic packages. furiously 
450,47380,P,228518.02,3/5/1995,4-NOT SPECIFIED,Clerk#000000293,0,never blithely ironic theodolites: special depe
451,98758,O,141490.92,5/25/1998,5-LOW,Clerk#000000048,0,furiously silent excuses wake carefully along 
452,59560,O,3270.2,10/14/1997,1-URGENT,Clerk#000000498,0,"es. courts poach sometimes. thin, express packages a"
453,44030,O,329149.33,5/26/1997,5-LOW,Clerk#000000504,0,n multipliers run according to the carefully even pack
454,48776,O,36743.83,12/27/1995,5-LOW,Clerk#000000890,0,"en, bold dependencies are final packages. blithely special ideas"
455,12098,O,183606.42,12/4/1996,1-URGENT,Clerk#000000796,0,poach. slyly final frays cajole. pac
480,71383,F,23699.64,5/8/1993,5-LOW,Clerk#000000004,0,deposits about the blithely final realms use thinly alongside of the slyly fi
481,30352,F,201254.08,10/8/1992,2-HIGH,Clerk#000000230,0,y regular platelets alongside of the ide
482,125059,O,182312.78,3/26/1996,1-URGENT,Clerk#000000295,0,silent warthogs. furiously ir
483,34820,O,70146.28,7/11/1995,2-HIGH,Clerk#000000025,0, haggle furiously at the in
484,54244,O,327889.57,1/3/1997,3-MEDIUM,Clerk#000000545,0, boost carefully against the regular deposits. express frays impress s
485,100561,O,192867.3,3/26/1997,2-HIGH,Clerk#000000105,0,uickly final deposits haggle closely 
486,50861,O,284644.07,3/11/1996,4-NOT SPECIFIED,Clerk#000000803,0,ironic excuses according to the furiou
487,107825,F,90657.45,8/18/1992,1-URGENT,Clerk#000000086,0,sits wake alongside of the slyly 
512,63022,P,194834.4,5/20/1995,5-LOW,Clerk#000000814,0," are bold, express deposits. ironic deposits doze across the quic"
513,60569,O,105559.7,5/1/1995,2-HIGH,Clerk#000000522,0,"luffy packages affix. ironic, ironic requests haggle against th"
514,74872,O,154735.68,4/4/1996,2-HIGH,Clerk#000000094,0," furiously ruthless dugouts. slow, regular accounts sublate against the ac"
515,141829,F,244660.33,8/29/1993,4-NOT SPECIFIED,Clerk#000000700,0,instructions wake carefully regular hockey players. slyly specia
516,43903,O,21920.56,4/21/1998,2-HIGH,Clerk#000000305,0, the deposits. regular packages wake about the tithes. ironic requests wake b
517,9220,O,121396.01,4/7/1997,5-LOW,Clerk#000000359,0,tect fluffily among the slyly pending packages. foxes 
518,144382,O,355180.76,2/8/1998,2-HIGH,Clerk#000000768,0,lithely regular packages haggle stealthily slyly close de
519,62953,O,161219.18,10/31/1997,1-URGENT,Clerk#000000985,0,ckages sleep furiously according 
544,93385,F,69323.15,2/17/1993,2-HIGH,Clerk#000000145,0,lyly along the ironic requests. blithely spe
545,63143,O,28984.07,11/7/1995,2-HIGH,Clerk#000000537,0,oss the furiously ironic ideas. carefully 
546,143224,O,23566.29,11/1/1996,2-HIGH,Clerk#000000041,0,nts boost evenly. furiously ironic packages nag
547,98209,O,149446.88,6/22/1996,3-MEDIUM,Clerk#000000976,0, bold deposits sublate quickly express ac
548,123823,F,165456.46,9/21/1994,1-URGENT,Clerk#000000435,0,uld haggle. quickly spe
549,109921,F,196410.67,7/13/1992,1-URGENT,Clerk#000000196,0,the blithely specia
550,23524,O,42415.31,8/2/1995,1-URGENT,Clerk#000000204,0, are furiously slyly 
551,89608,O,71032.36,5/30/1995,1-URGENT,Clerk#000000179,0,ns sublate blithely from t
576,29518,O,26276.64,5/13/1997,3-MEDIUM,Clerk#000000955,0,ly bold requests are carefully fluffily even dep
577,55126,F,58874.63,12/19/1994,5-LOW,Clerk#000000154,0,gular ideas are furiously.
578,92582,O,93874.88,1/10/1997,5-LOW,Clerk#000000281,0, deposits cajole slyly regular accounts. blithely iro
579,67057,O,161591.06,3/11/1998,2-HIGH,Clerk#000000862,0,ages. furiously bold requests haggle s
580,59221,O,137666.81,7/5/1997,2-HIGH,Clerk#000000314,0,s are ironic theodolites. acco
581,68734,O,180542.57,2/23/1997,4-NOT SPECIFIED,Clerk#000000239,0, slyly final requests. furiously final waters cajole
582,49358,O,181843.8,10/21/1997,1-URGENT,Clerk#000000378,0,dependencies after th
583,47125,O,185521.56,3/19/1997,3-MEDIUM,Clerk#000000792,0,"unusual, pending platelets"
608,25961,O,85399.2,2/28/1996,3-MEDIUM,Clerk#000000995,0,t the fluffily unusual asymptotes
609,125122,F,32712.15,6/1/1994,3-MEDIUM,Clerk#000000348,0,deas serve slyly. slyly even pains 
610,50665,O,278270.15,8/2/1995,1-URGENT,Clerk#000000610,0,excuses boost. ironic pinto b
611,105497,F,127852.7,1/27/1993,1-URGENT,Clerk#000000401,0,ckly bold theodolites. bl
612,81430,F,212763.09,10/21/1992,3-MEDIUM,Clerk#000000759,0,ccounts. enticingly unusual dependencies haggle slyly. furiously 
613,138254,O,38120.35,6/18/1995,2-HIGH,Clerk#000000172,0,"ts. unusual, ironic pinto beans promise blithely ex"
614,133288,F,337176.45,12/1/1992,2-HIGH,Clerk#000000388,0,gle. fluffily ironic deposits s
615,65407,F,50707.14,5/9/1992,5-LOW,Clerk#000000388,0,s pinto beans sleep ruthlessly final deposits. slyly special idea
640,95138,F,238520.33,1/23/1993,2-HIGH,Clerk#000000433,0,ages nag among the deposits. fluffily unusual instructions shall ha
641,132805,F,169757.6,8/30/1993,5-LOW,Clerk#000000175,0,ar accounts. carefully furious deposits are slyly 
642,39907,F,38023.78,12/16/1993,3-MEDIUM,Clerk#000000357,0,regular asymptotes. ironic accounts boost alon
643,57772,P,254060.24,3/25/1995,2-HIGH,Clerk#000000354,0,ts along the carefully even asymp
644,7370,F,272383.85,5/1/1992,1-URGENT,Clerk#000000550,0,se blithely. bold attainments affix furiously even notornis. blithely bo
645,114224,F,346179.67,12/3/1994,2-HIGH,Clerk#000000090,0,"es. ironic, regular requests haggle agains"
646,50417,F,236726.73,11/22/1994,2-HIGH,Clerk#000000203,0,ions believe across the bl
647,142930,O,82009.52,8/7/1997,1-URGENT,Clerk#000000270,0, affix carefully special excuses. instructions haggle blithel
672,108085,F,117034.85,4/14/1994,5-LOW,Clerk#000000106,0,esias wake along the furiously special requ
673,79148,F,31899.02,3/10/1994,1-URGENT,Clerk#000000448,0,its boost. regular ideas according to the silently bold
674,33130,F,36846.48,8/29/1992,5-LOW,Clerk#000000448,0," print final accounts. unusual courts wake according to the final, even depo"
675,11704,O,206195.97,7/31/1997,2-HIGH,Clerk#000000168,0,s. slyly final accounts a
676,37930,O,251888.78,12/13/1996,2-HIGH,Clerk#000000248,0,uffily according to the slyly expres
677,123877,F,222824.61,11/24/1993,3-MEDIUM,Clerk#000000824,0, carefully silent requests integrate carefully ab
678,130645,F,185606.97,2/27/1993,5-LOW,Clerk#000000530,0,arthogs! quickly final deposits 
679,48494,O,15157.64,12/15/1995,2-HIGH,Clerk#000000853,0,e furiously alongside of the slyly even packages. blithely ironic dependencies
704,84352,O,107139.07,11/21/1996,3-MEDIUM,Clerk#000000682,0,c depths sleep furiously according to the quickly pending de
705,42706,O,105761.54,2/13/1997,4-NOT SPECIFIED,Clerk#000000294,0,"structions wake ironic, final theodolites. furiously ironic accounts shal"
706,147367,O,37704.79,9/9/1995,1-URGENT,Clerk#000000448,0,y express instructions! quic
707,116150,F,98435.28,11/20/1994,3-MEDIUM,Clerk#000000199,0," ideas. special, regular ideas boost carefully. req"
708,31534,O,133960.4,7/3/1998,3-MEDIUM,Clerk#000000101,0,heodolites boost slyl
709,36029,O,90778.89,4/21/1998,1-URGENT,Clerk#000000461,0,nto beans. furiously final accounts cajole pe
710,131137,F,295703.61,1/2/1993,5-LOW,Clerk#000000026,0,ously dogged foxes. final requests cajole. ir
711,63673,F,124433.21,9/23/1993,4-NOT SPECIFIED,Clerk#000000856,0,p. ironic attainments haggle always 
736,46354,O,176984.57,6/21/1998,5-LOW,Clerk#000000881,0,sts. regular ideas wake
737,119666,F,22759.44,4/26/1992,5-LOW,Clerk#000000233,0,y ironic excuses need to cajole fluffily across the blithely enticing 
738,20752,F,172540.42,3/2/1993,4-NOT SPECIFIED,Clerk#000000669,0,s. requests play between the enticing attainments; 
739,307,O,243259.37,5/31/1998,5-LOW,Clerk#000000900,0,s. even foxes are slyly. bold accounts haggle. iron
740,43417,O,96016.31,7/16/1995,3-MEDIUM,Clerk#000000583,0,"lyly even packages. close, bold courts about th"
741,104491,O,66343.8,7/7/1998,2-HIGH,Clerk#000000295,0,otes sleep quickly along the furiously regular r
742,102838,F,305886.71,12/23/1994,5-LOW,Clerk#000000543,0,thely even accounts. slyly bold deposits use always around the fu
743,78322,O,33545.04,10/4/1996,4-NOT SPECIFIED,Clerk#000000933,0,y pending requests sleep carefully quickly regular accounts. 
768,97054,O,350817.47,8/20/1996,3-MEDIUM,Clerk#000000411,0,s deposits nag furiously. furiously regular
769,79987,F,45812.47,6/2/1993,3-MEDIUM,Clerk#000000172,0,ptotes. blithely express packages boost furiously special instructio
770,31909,O,75639.7,5/23/1998,5-LOW,Clerk#000000572,0,thely bold ideas do boost slyly pending instructions
771,44542,O,169115.42,6/17/1995,1-URGENT,Clerk#000000105,0,ly regular deposits nag slyly. final foxes wake ca
772,96496,F,192141.04,4/17/1993,2-HIGH,Clerk#000000430,0,es haggle furiously unusual platelets. ironic requests 
773,131834,F,173949.22,9/26/1993,3-MEDIUM,Clerk#000000307,0,gouts boost fluffily. fluffily pending requests play alongside of the fur
774,79582,O,221514.77,12/4/1995,1-URGENT,Clerk#000000883,0,are above the blithel
775,133180,F,76542.35,3/18/1995,1-URGENT,Clerk#000000191,0,"e special, ironic excuses! silent deposits among the furiously"
800,55940,O,127353.1,7/14/1998,2-HIGH,Clerk#000000213,0,eas thrash blithely at the carefully pending accounts. furiously final r
801,117790,F,184316.4,2/18/1992,1-URGENT,Clerk#000000186,0,unts according to the boldly regular pain
802,136685,F,266057.18,1/5/1995,1-URGENT,Clerk#000000516,0,ly final accounts cajole. blithely regular accounts s
803,14365,O,46420.95,4/29/1997,5-LOW,Clerk#000000260,0,ake furiously according to the bravely special tithes. blithely dogged foxes
804,49969,F,137127.01,3/12/1993,3-MEDIUM,Clerk#000000931,0,leep blithely enticing theodolites; blithely
805,126001,O,141519.4,7/5/1995,4-NOT SPECIFIED,Clerk#000000856,0,. regular packages wake idly
806,130741,O,44387.52,6/20/1996,2-HIGH,Clerk#000000240,0,"ng, regular instructions after the ironi"
807,143524,F,330203.94,11/24/1993,3-MEDIUM,Clerk#000000012,0,ic deposits. theodolites sleep deposits. quickl
832,28921,F,121528.13,4/19/1992,5-LOW,Clerk#000000495,0, dependencies sleep slyly carefully regular pinto beans. furiou
833,55240,F,82735.33,2/13/1994,3-MEDIUM,Clerk#000000437,0,posits. ideas use blithely slyly 
834,42754,F,60758.34,5/23/1994,3-MEDIUM,Clerk#000000805,0,kages mold carefully. quickly pending packages boost slyly regular depo
835,64754,O,91841.21,10/8/1995,4-NOT SPECIFIED,Clerk#000000416,0,"lar asymptotes. ironic, stealthy requests across the blithel"
836,68782,O,119120.78,11/25/1996,4-NOT SPECIFIED,Clerk#000000729,0,y quickly final packages. even requests about the finally final foxes sle
837,115846,F,91495.19,6/15/1994,4-NOT SPECIFIED,Clerk#000000563,0,old accounts cajole above the silent accounts. d
838,16336,O,123076.73,1/29/1998,5-LOW,Clerk#000000213,0,thely ironic instructions. e
839,27881,O,85422.02,8/8/1995,1-URGENT,Clerk#000000951,0," blithely ironic dolphins maintain regular, regula"
864,137729,O,113810.95,8/17/1997,1-URGENT,Clerk#000000036,0,"regular pinto beans are carefully. regular, express pinto beans are car"
865,2537,F,89144.19,5/4/1993,3-MEDIUM,Clerk#000000337,0,packages hang slyly blithely ironic excuses-- carefully ironic instructions 
866,38299,F,7998.02,11/28/1992,3-MEDIUM,Clerk#000000718,0,oost slyly about the silent courts. sauternes
867,25130,F,13207.24,11/16/1993,3-MEDIUM,Clerk#000000877,0,y foxes sleep enticingly 
868,103501,F,170831.61,6/9/1992,4-NOT SPECIFIED,Clerk#000000782,0,s. evenly even sheaves boost furiously. quickly 
869,134617,O,68638.94,1/12/1997,2-HIGH,Clerk#000000245,0,platelets for the quickly even notornis sleep fluffily regular platelets. 
870,32185,F,48718.44,6/20/1993,4-NOT SPECIFIED,Clerk#000000123,0,slyly bold requests breach regula
871,14423,O,274343.38,11/15/1995,5-LOW,Clerk#000000882,0,ly. blithely special foxes 
896,1646,F,285882.29,3/9/1993,1-URGENT,Clerk#000000187,0,sly ironic packages wake regular decoys. regular deposits use along the q
897,48931,P,77590.87,3/20/1995,1-URGENT,Clerk#000000316,0,symptotes cajole again
898,53575,F,130445.64,6/3/1993,2-HIGH,Clerk#000000611,0,as haggle finally about the carefully sly fr
899,108485,O,154199.5,4/8/1998,5-LOW,Clerk#000000575,0,ackages alongside of the quickly regula
900,45805,F,176247.47,10/1/1994,4-NOT SPECIFIED,Clerk#000000060,0,t accounts. slyly regular theodolites m
901,11255,O,118682.69,7/21/1998,4-NOT SPECIFIED,Clerk#000000929,0,"ions. special, special packages sleep furiously final accounts. fluffily "
902,8515,F,61110.53,7/27/1994,4-NOT SPECIFIED,Clerk#000000811,0,t along the blithely regular packages. speci
903,10876,O,161961.88,7/7/1995,4-NOT SPECIFIED,Clerk#000000793,0,riously final packages. qu
928,65630,F,331325.36,3/2/1995,5-LOW,Clerk#000000450,0,odolites are quickly pending
929,82661,F,151170.57,10/2/1992,2-HIGH,Clerk#000000160,0,riously after the slyly regular ideas. furiously ironic instructions affix bey
930,130952,F,277890.79,12/17/1994,1-URGENT,Clerk#000000004,0,ests sleep alongside of the carefully express accounts. i
931,102889,F,155527.98,12/7/1992,1-URGENT,Clerk#000000881,0,"es. regular, final requests print around the fluffily special d"
932,40321,O,72741.24,5/16/1997,2-HIGH,Clerk#000000218,0,"kages impress carefully bold, pending asymp"
933,95348,F,85813.96,8/5/1992,4-NOT SPECIFIED,Clerk#000000752,0,dependencies cajole carefully regular requests. blithely final accounts s
934,51295,O,32426.69,7/3/1996,1-URGENT,Clerk#000000229,0,nt pinto beans cajole slyly blithely careful fre
935,49171,O,124027.79,9/24/1997,5-LOW,Clerk#000000180,0, detect. slyly even requests haggle quickly along the
960,34624,F,96360.51,9/21/1994,3-MEDIUM,Clerk#000000120,0,the carefully final reques
961,55069,P,263327.51,6/4/1995,4-NOT SPECIFIED,Clerk#000000720,0,uriously regular theodolites print
962,35273,F,148591.41,5/6/1994,5-LOW,Clerk#000000463,0,along the even foxes! fluffily unusua
963,25271,F,76423.01,5/26/1994,3-MEDIUM,Clerk#000000497,0," across the regular, final requests boost fluffily above the final d"
964,75179,O,228119.17,5/20/1995,3-MEDIUM,Clerk#000000657,0, carefully. blithely final packages abov
